symbol,timestamp,open,high,low,close,volume,trade_count,vwap,exchange
DOCU,2024-09-05 04:00:00+00:00,57.43,57.43,56.5,56.93,4482916.0,59376.0,56.906309,IEX
DOCU,2024-09-06 04:00:00+00:00,60.24,61.09,57.32,59.19,8230774.0,84621.0,59.032337,IEX
DOCU,2024-09-09 04:00:00+00:00,58.62,59.2,55.41,56.04,4949350.0,58074.0,56.407653,IEX
DOCU,2024-09-10 04:00:00+00:00,56.4,56.5,54.51,54.56,3181598.0,41585.0,55.122625,IEX
DOCU,2024-09-11 04:00:00+00:00,54.5,55.71,54.315,55.31,2450274.0,39887.0,55.225481,IEX
DOCU,2024-09-12 04:00:00+00:00,55.83,56.98,55.56,56.49,2226500.0,31614.0,56.421303,IEX
DOCU,2024-09-13 04:00:00+00:00,56.48,57.15,56.135,56.63,2138564.0,36775.0,56.757974,IEX
DOCU,2024-09-16 04:00:00+00:00,56.56,57.38,56.19,56.76,2530187.0,34829.0,56.877226,IEX
DOCU,2024-09-17 04:00:00+00:00,56.91,57.32,55.24,55.69,1838406.0,29777.0,55.996741,IEX
DOCU,2024-09-18 04:00:00+00:00,55.34,57.01,55.141,56.64,2381348.0,32672.0,56.292548,IEX
DOCU,2024-09-19 04:00:00+00:00,57.41,58.41,56.7,57.91,2539728.0,35576.0,57.924912,IEX
DOCU,2024-09-20 04:00:00+00:00,57.78,58.4,57.5792,57.97,3526397.0,29729.0,57.968722,IEX
DOCU,2024-09-23 04:00:00+00:00,58.45,58.85,58.0,58.85,1794402.0,28691.0,58.588249,IEX
DOCU,2024-09-24 04:00:00+00:00,59.0,59.58,58.275,58.66,2043540.0,29704.0,58.68448,IEX
DOCU,2024-09-25 04:00:00+00:00,58.67,60.585,58.33,60.55,3088964.0,39040.0,60.067581,IEX
DOCU,2024-09-26 04:00:00+00:00,61.12,63.37,60.57,62.53,4724957.0,65862.0,62.351627,IEX
DOCU,2024-09-27 04:00:00+00:00,61.95,62.75,61.46,61.67,2162051.0,35058.0,61.860305,IEX
DOCU,2024-09-30 04:00:00+00:00,61.61,62.16,60.73,62.09,2414942.0,30855.0,61.733964,IEX
DOCU,2024-10-01 04:00:00+00:00,62.09,63.155,61.38,61.42,2242991.0,34043.0,61.866667,IEX
DOCU,2024-10-02 04:00:00+00:00,61.32,62.42,60.6,62.33,2104014.0,33566.0,61.954043,IEX
DOCU,2024-10-03 04:00:00+00:00,62.01,63.03,61.91,62.98,2210837.0,30979.0,62.751366,IEX
DOCU,2024-10-04 04:00:00+00:00,63.96,64.3,63.4,63.84,2300758.0,33748.0,63.852623,IEX
DOCU,2024-10-07 04:00:00+00:00,63.63,64.47,62.66,62.78,1931845.0,31045.0,63.256268,IEX
DOCU,2024-10-08 04:00:00+00:00,67.89,68.64,66.32,66.89,14188182.0,140245.0,67.641748,IEX
DOCU,2024-10-09 04:00:00+00:00,66.88,69.36,66.87,69.25,6963505.0,88731.0,68.56704,IEX
DOCU,2024-10-10 04:00:00+00:00,68.73,69.54,68.14,69.22,33210279.0,106568.0,69.160201,IEX
DOCU,2024-10-11 04:00:00+00:00,69.06,69.78,68.62,68.89,4739372.0,61909.0,68.964273,IEX
DOCU,2024-10-14 04:00:00+00:00,69.11,70.19,68.22,68.86,2695227.0,39960.0,68.940067,IEX
DOCU,2024-10-15 04:00:00+00:00,68.99,70.085,68.51,70.04,3062283.0,39723.0,69.547427,IEX
DOCU,2024-10-16 04:00:00+00:00,70.11,72.64,69.88,72.6,5095079.0,57990.0,71.76828,IEX
