symbol,timestamp,open,high,low,close,volume,trade_count,vwap,exchange
NET,2024-09-05 04:00:00+00:00,77.27,79.38,77.15,78.4,1236046.0,23138.0,78.413974,IEX
NET,2024-09-06 04:00:00+00:00,78.64,79.21,75.71,76.05,1927634.0,32554.0,76.372809,IEX
NET,2024-09-09 04:00:00+00:00,77.01,77.71,76.09,76.24,1291772.0,23003.0,76.623716,IEX
NET,2024-09-10 04:00:00+00:00,76.65,77.21,74.88,76.81,1603392.0,25549.0,76.229053,IEX
NET,2024-09-11 04:00:00+00:00,76.49,78.7,75.22,78.56,2335375.0,30569.0,77.311425,IEX
NET,2024-09-12 04:00:00+00:00,78.89,79.84,77.7727,78.86,1361390.0,21525.0,78.94079,IEX
NET,2024-09-13 04:00:00+00:00,79.05,80.26,77.91,78.59,1339767.0,21909.0,78.891531,IEX
NET,2024-09-16 04:00:00+00:00,78.15,80.3099,77.87,79.93,1698406.0,25496.0,79.515561,IEX
NET,2024-09-17 04:00:00+00:00,80.8,80.8,77.81,79.11,2119380.0,26882.0,79.069697,IEX
NET,2024-09-18 04:00:00+00:00,79.34,79.69,77.6,78.09,1582150.0,25730.0,78.372721,IEX
NET,2024-09-19 04:00:00+00:00,80.09,82.9,79.2,82.83,3410876.0,44630.0,81.880597,IEX
NET,2024-09-20 04:00:00+00:00,82.95,83.34,81.4198,82.45,3090071.0,28642.0,82.470903,IEX
NET,2024-09-23 04:00:00+00:00,82.67,86.12,82.5,85.61,3228792.0,42168.0,85.124854,IEX
NET,2024-09-24 04:00:00+00:00,86.1,86.4547,83.76,85.5,1906825.0,29477.0,85.45768,IEX
NET,2024-09-25 04:00:00+00:00,85.31,85.34,83.4,83.41,2325418.0,27262.0,83.798522,IEX
NET,2024-09-26 04:00:00+00:00,84.81,84.81,81.18,82.36,3099596.0,46605.0,82.49698,IEX
NET,2024-09-27 04:00:00+00:00,82.2,82.69,81.2401,81.59,1462681.0,23730.0,81.768706,IEX
NET,2024-09-30 04:00:00+00:00,80.85,81.7708,79.39,80.89,2196132.0,34170.0,80.361364,IEX
NET,2024-10-01 04:00:00+00:00,80.05,80.3,78.01,78.11,2199074.0,37264.0,78.729887,IEX
NET,2024-10-02 04:00:00+00:00,78.87,79.8,77.8,79.34,2505464.0,33653.0,79.125671,IEX
NET,2024-10-03 04:00:00+00:00,78.76,79.87,78.1,79.43,1531199.0,25967.0,79.216796,IEX
NET,2024-10-04 04:00:00+00:00,80.0,83.46,79.5,83.43,2515147.0,36518.0,82.10263,IEX
NET,2024-10-07 04:00:00+00:00,83.15,83.25,80.47,80.49,1655671.0,26781.0,81.123523,IEX
NET,2024-10-08 04:00:00+00:00,79.48,81.84,79.16,81.76,1182709.0,23195.0,81.14265,IEX
NET,2024-10-09 04:00:00+00:00,81.94,84.95,81.63,84.95,1841405.0,28620.0,84.199988,IEX
NET,2024-10-10 04:00:00+00:00,84.58,93.69,84.4801,92.46,8239476.0,92907.0,91.880184,IEX
NET,2024-10-11 04:00:00+00:00,92.94,94.31,92.1,93.47,3841353.0,51532.0,93.477369,IEX
NET,2024-10-14 04:00:00+00:00,94.9,96.3,92.34,93.75,2795002.0,38282.0,93.835735,IEX
NET,2024-10-15 04:00:00+00:00,94.0,94.9,92.57,93.8,2497017.0,36463.0,93.892579,IEX
NET,2024-10-16 04:00:00+00:00,93.65,93.96,91.13,91.34,2087536.0,33776.0,92.132336,IEX
NET,2024-10-17 04:00:00+00:00,92.05,92.16,90.17,90.4,1458586.0,27086.0,90.787599,IEX
NET,2024-10-18 04:00:00+00:00,90.52,91.49,90.11,90.8,1628841.0,24300.0,90.827719,IEX
NET,2024-10-21 04:00:00+00:00,90.16,92.79,90.0053,90.74,1479914.0,23169.0,91.008084,IEX
NET,2024-10-22 04:00:00+00:00,90.04,90.3799,87.8,88.46,1985082.0,32402.0,88.557892,IEX
NET,2024-10-23 04:00:00+00:00,88.14,88.8,86.9,87.64,2051098.0,30236.0,88.071279,IEX
NET,2024-10-24 04:00:00+00:00,88.2,90.11,88.0,89.57,1768520.0,26343.0,89.241429,IEX
NET,2024-10-25 04:00:00+00:00,89.82,90.65,88.47,88.76,1437283.0,25022.0,89.109361,IEX
NET,2024-10-28 04:00:00+00:00,89.38,90.08,87.78,87.94,1396734.0,23191.0,88.544198,IEX
NET,2024-10-29 04:00:00+00:00,88.44,89.63,87.33,89.52,1441512.0,24199.0,89.020473,IEX
NET,2024-10-30 04:00:00+00:00,89.5,91.31,89.357,89.85,2402415.0,36496.0,90.446729,IEX
NET,2024-10-31 04:00:00+00:00,88.29,88.7299,87.1,87.71,2111326.0,29717.0,87.916856,IEX
NET,2024-11-01 04:00:00+00:00,88.61,88.7,86.2569,87.55,1964077.0,31631.0,87.426373,IEX
NET,2024-11-04 05:00:00+00:00,87.0,87.76,85.6,86.49,2016905.0,32587.0,86.748354,IEX
NET,2024-11-05 05:00:00+00:00,86.92,88.15,86.425,87.71,1920435.0,31870.0,87.363853,IEX
NET,2024-11-06 05:00:00+00:00,90.25,92.62,89.815,92.51,2938401.0,44255.0,91.810331,IEX
NET,2024-11-07 05:00:00+00:00,94.89,97.5325,94.1101,95.66,7095186.0,92996.0,95.8587,IEX
NET,2024-11-08 05:00:00+00:00,88.45,92.2,87.24,91.25,7777228.0,100074.0,89.731452,IEX
NET,2024-11-11 05:00:00+00:00,91.25,95.36,90.8,93.23,5152278.0,56934.0,93.160325,IEX
NET,2024-11-12 05:00:00+00:00,92.89,93.9999,89.45,90.91,2521198.0,43189.0,91.179265,IEX
NET,2024-11-13 05:00:00+00:00,91.42,99.17,91.25,94.16,5786326.0,74885.0,96.028141,IEX
NET,2024-11-14 05:00:00+00:00,94.46,95.45,91.06,91.93,2646421.0,39139.0,92.295446,IEX
