symbol,timestamp,open,high,low,close,volume,trade_count,vwap,exchange
PLTR,2024-09-05 04:00:00+00:00,30.24,30.74,30.01,30.16,24012331.0,149240.0,30.351596,IEX
PLTR,2024-09-06 04:00:00+00:00,30.6,31.04,29.5,30.33,50946777.0,289883.0,30.112238,IEX
PLTR,2024-09-09 04:00:00+00:00,32.7,34.7,32.47,34.6,140582494.0,694877.0,33.983978,IEX
PLTR,2024-09-10 04:00:00+00:00,34.81,35.2,33.71,34.76,91720986.0,454496.0,34.373687,IEX
PLTR,2024-09-11 04:00:00+00:00,34.01,34.87,33.62,34.85,68302252.0,334480.0,34.316588,IEX
PLTR,2024-09-12 04:00:00+00:00,34.86,35.4,34.5308,34.91,54391843.0,290615.0,34.983153,IEX
PLTR,2024-09-13 04:00:00+00:00,34.97,36.01,34.89,35.59,49727172.0,267163.0,35.515515,IEX
PLTR,2024-09-16 04:00:00+00:00,35.78,36.92,35.56,36.31,74767329.0,376123.0,36.294789,IEX
PLTR,2024-09-17 04:00:00+00:00,37.0,37.05,35.87,36.45,64461751.0,316710.0,36.307106,IEX
PLTR,2024-09-18 04:00:00+00:00,35.9,37.11,35.8712,36.38,66279770.0,328192.0,36.519154,IEX
PLTR,2024-09-19 04:00:00+00:00,37.0,37.35,36.2,36.83,59882041.0,285820.0,36.846937,IEX
PLTR,2024-09-20 04:00:00+00:00,36.01,37.29,35.71,37.2,450290538.0,436495.0,37.016158,IEX
PLTR,2024-09-23 04:00:00+00:00,36.86,38.19,36.57,37.95,79460737.0,356399.0,37.655897,IEX
PLTR,2024-09-24 04:00:00+00:00,37.97,37.98,36.43,36.9,79519248.0,386628.0,36.893682,IEX
PLTR,2024-09-25 04:00:00+00:00,36.89,37.18,36.3827,37.12,46511724.0,231462.0,36.790992,IEX
PLTR,2024-09-26 04:00:00+00:00,37.26,37.44,36.6,37.1,48601992.0,245125.0,37.079702,IEX
PLTR,2024-09-27 04:00:00+00:00,36.91,37.47,36.59,36.84,43219122.0,216162.0,36.954677,IEX
PLTR,2024-09-30 04:00:00+00:00,36.58,37.32,36.15,37.2,42223553.0,201920.0,36.902327,IEX
PLTR,2024-10-01 04:00:00+00:00,37.21,37.56,36.05,36.46,52858036.0,284645.0,36.662401,IEX
PLTR,2024-10-02 04:00:00+00:00,36.3,37.68,36.145,37.49,34988906.0,186423.0,37.17189,IEX
PLTR,2024-10-03 04:00:00+00:00,37.45,39.29,37.37,39.24,57196445.0,292966.0,38.667775,IEX
PLTR,2024-10-04 04:00:00+00:00,39.65,40.29,39.4,40.01,62657545.0,324050.0,39.875735,IEX
PLTR,2024-10-07 04:00:00+00:00,39.9,40.15,38.775,38.89,44124766.0,248026.0,39.282026,IEX
PLTR,2024-10-08 04:00:00+00:00,39.29,41.49,39.015,41.45,62542945.0,338116.0,40.774115,IEX
PLTR,2024-10-09 04:00:00+00:00,41.55,43.34,41.21,43.13,86404698.0,414346.0,42.630118,IEX
PLTR,2024-10-10 04:00:00+00:00,42.92,43.8784,42.4101,43.52,62516314.0,326267.0,43.25082,IEX
PLTR,2024-10-11 04:00:00+00:00,43.4,44.38,42.62,43.51,66206893.0,347635.0,43.396602,IEX
PLTR,2024-10-14 04:00:00+00:00,43.72,44.39,43.28,43.4,41010910.0,253937.0,43.731559,IEX
PLTR,2024-10-15 04:00:00+00:00,43.475,43.68,41.515,42.43,48296974.0,330802.0,42.535053,IEX
PLTR,2024-10-16 04:00:00+00:00,42.4,42.49,40.36,41.93,59157938.0,339243.0,41.454803,IEX
PLTR,2024-10-17 04:00:00+00:00,42.15,42.7,41.61,42.0,34028414.0,210962.0,42.0111,IEX
PLTR,2024-10-18 04:00:00+00:00,42.015,42.99,41.65,42.97,33969020.0,186596.0,42.561458,IEX
PLTR,2024-10-21 04:00:00+00:00,42.86,43.4,42.41,42.7,30719779.0,184494.0,42.778423,IEX
PLTR,2024-10-22 04:00:00+00:00,42.69,43.49,42.3,42.94,27830734.0,161258.0,42.986192,IEX
PLTR,2024-10-23 04:00:00+00:00,42.85,43.68,42.055,42.59,35646980.0,206440.0,42.869081,IEX
PLTR,2024-10-24 04:00:00+00:00,42.89,43.73,42.66,43.56,34079557.0,191700.0,43.251193,IEX
PLTR,2024-10-25 04:00:00+00:00,43.85,45.07,43.645,44.86,50416491.0,288556.0,44.714102,IEX
PLTR,2024-10-28 04:00:00+00:00,45.05,45.14,44.68,44.97,36729700.0,223989.0,44.954915,IEX
PLTR,2024-10-29 04:00:00+00:00,44.9,45.07,44.04,44.93,26154712.0,179890.0,44.8216,IEX
PLTR,2024-10-30 04:00:00+00:00,44.58,44.8,43.61,43.69,31309232.0,228007.0,44.18836,IEX
PLTR,2024-10-31 04:00:00+00:00,42.79,43.32,40.9,41.56,50973360.0,361836.0,41.72945,IEX
PLTR,2024-11-01 04:00:00+00:00,41.93,42.57,41.59,41.92,33722521.0,227593.0,42.108213,IEX
PLTR,2024-11-04 05:00:00+00:00,41.08,42.04,41.0315,41.41,75413298.0,446893.0,41.563203,IEX
PLTR,2024-11-05 05:00:00+00:00,47.86,51.575,46.86,51.13,208868200.0,1094851.0,50.157186,IEX
PLTR,2024-11-06 05:00:00+00:00,53.44,55.69,51.61,55.53,114255943.0,725049.0,54.059349,IEX
PLTR,2024-11-07 05:00:00+00:00,55.82,56.47,53.55,55.88,121591164.0,781847.0,54.98024,IEX
PLTR,2024-11-08 05:00:00+00:00,55.57,58.48,55.3,58.39,84124034.0,545625.0,57.457731,IEX
PLTR,2024-11-11 05:00:00+00:00,60.1325,62.08,58.69,60.24,108357795.0,748933.0,60.594642,IEX
PLTR,2024-11-12 05:00:00+00:00,59.01,60.09,58.57,59.85,59061338.0,434751.0,59.437853,IEX
PLTR,2024-11-13 05:00:00+00:00,61.52,63.39,59.85,60.7,85937360.0,570722.0,61.898834,IEX
PLTR,2024-11-14 05:00:00+00:00,61.05,61.17,58.53,59.18,59968240.0,418977.0,59.573182,IEX
