symbol,timestamp,open,high,low,close,volume,trade_count,vwap,exchange
PYPL,2024-09-05 04:00:00+00:00,73.66,74.4,71.015,72.03,11473844.0,139650.0,72.142692,IEX
PYPL,2024-09-06 04:00:00+00:00,71.94,72.05,68.55,68.89,12315821.0,150664.0,69.426058,IEX
PYPL,2024-09-09 04:00:00+00:00,70.392,70.65,68.25,69.35,11869340.0,139878.0,69.587337,IEX
PYPL,2024-09-10 04:00:00+00:00,69.34,69.74,67.15,68.85,12317452.0,134542.0,68.195989,IEX
PYPL,2024-09-11 04:00:00+00:00,69.16,69.7,67.76,69.35,12344870.0,102000.0,68.998693,IEX
PYPL,2024-09-12 04:00:00+00:00,69.14,70.38,69.04,70.36,8376713.0,93471.0,70.07805,IEX
PYPL,2024-09-13 04:00:00+00:00,70.04,70.6202,69.8601,70.1,7572594.0,88305.0,70.203685,IEX
PYPL,2024-09-16 04:00:00+00:00,70.46,71.24,70.0699,71.07,6494997.0,78629.0,70.846172,IEX
PYPL,2024-09-17 04:00:00+00:00,71.93,72.17,71.12,71.77,6187212.0,81139.0,71.68322,IEX
PYPL,2024-09-18 04:00:00+00:00,71.45,73.87,71.36,73.12,13498163.0,155473.0,72.80286,IEX
PYPL,2024-09-19 04:00:00+00:00,75.0,78.245,74.81,77.57,21662377.0,223352.0,76.997136,IEX
PYPL,2024-09-20 04:00:00+00:00,77.31,77.57,75.462,76.76,27274648.0,174768.0,76.642147,IEX
PYPL,2024-09-23 04:00:00+00:00,77.53,78.8,77.35,77.67,12839810.0,146897.0,78.13643,IEX
PYPL,2024-09-24 04:00:00+00:00,77.88,78.83,77.67,78.34,14724836.0,147449.0,78.280463,IEX
PYPL,2024-09-25 04:00:00+00:00,78.23,79.26,77.34,77.36,13822395.0,111948.0,77.925791,IEX
PYPL,2024-09-26 04:00:00+00:00,78.945,80.43,78.47,80.08,13316657.0,156152.0,79.677711,IEX
PYPL,2024-09-27 04:00:00+00:00,80.4,80.6299,77.73,77.88,11575282.0,146738.0,78.579644,IEX
PYPL,2024-09-30 04:00:00+00:00,77.87,78.5952,77.24,78.03,6853835.0,90627.0,77.971586,IEX
PYPL,2024-10-01 04:00:00+00:00,78.21,79.01,76.39,77.47,10608717.0,119523.0,77.38208,IEX
PYPL,2024-10-02 04:00:00+00:00,77.47,77.77,76.18,77.44,8073322.0,97631.0,76.975499,IEX
PYPL,2024-10-03 04:00:00+00:00,76.53,77.4,76.04,77.31,9121261.0,99642.0,76.856755,IEX
PYPL,2024-10-04 04:00:00+00:00,78.16,79.53,77.985,79.36,10083594.0,116445.0,79.081077,IEX
PYPL,2024-10-07 04:00:00+00:00,79.29,80.49,78.615,80.26,9206569.0,107338.0,80.007013,IEX
PYPL,2024-10-08 04:00:00+00:00,79.99,81.3999,79.575,81.16,8618496.0,99858.0,80.934387,IEX
PYPL,2024-10-09 04:00:00+00:00,80.88,82.0,80.85,81.65,6925969.0,100076.0,81.553371,IEX
PYPL,2024-10-10 04:00:00+00:00,79.94,80.075,78.53,78.98,11326106.0,133636.0,79.168418,IEX
PYPL,2024-10-11 04:00:00+00:00,79.54,80.7263,79.16,80.51,7744777.0,90322.0,80.247257,IEX
PYPL,2024-10-14 04:00:00+00:00,80.34,80.98,79.82,80.67,5865449.0,82001.0,80.645923,IEX
PYPL,2024-10-15 04:00:00+00:00,80.15,81.06,78.65,79.55,7291606.0,108046.0,79.542958,IEX
PYPL,2024-10-16 04:00:00+00:00,79.81,80.85,79.45,80.82,5434792.0,75373.0,80.312495,IEX
