symbol,timestamp,open,high,low,close,volume,trade_count,vwap,exchange
UBER,2024-09-05 04:00:00+00:00,71.08,72.62,70.92,71.25,8890860.0,96352.0,71.488024,IEX
UBER,2024-09-06 04:00:00+00:00,71.13,72.02,68.729,69.58,11449834.0,115283.0,69.621642,IEX
UBER,2024-09-09 04:00:00+00:00,70.95,71.19,69.6325,69.8,8804605.0,82819.0,70.282233,IEX
UBER,2024-09-10 04:00:00+00:00,70.0,70.46,67.64,68.99,20227244.0,158882.0,68.882415,IEX
UBER,2024-09-11 04:00:00+00:00,68.83,70.22,67.12,70.11,14671855.0,119992.0,68.906644,IEX
UBER,2024-09-12 04:00:00+00:00,70.06,70.49,67.85,68.09,16381657.0,145343.0,68.750475,IEX
UBER,2024-09-13 04:00:00+00:00,72.4,72.755,70.94,72.48,30376487.0,245022.0,71.959065,IEX
UBER,2024-09-16 04:00:00+00:00,72.36,72.5,71.04,71.52,12016670.0,119543.0,71.634045,IEX
UBER,2024-09-17 04:00:00+00:00,71.97,73.73,71.31,72.78,14639821.0,144643.0,72.742136,IEX
UBER,2024-09-18 04:00:00+00:00,72.77,74.74,72.192,73.5,11720932.0,121359.0,73.53683,IEX
UBER,2024-09-19 04:00:00+00:00,74.98,76.46,74.56,75.28,17698445.0,155061.0,75.539989,IEX
UBER,2024-09-20 04:00:00+00:00,74.82,75.05,73.4511,73.94,17472693.0,108898.0,74.097169,IEX
UBER,2024-09-23 04:00:00+00:00,75.11,75.27,73.78,74.71,8285323.0,85923.0,74.598862,IEX
UBER,2024-09-24 04:00:00+00:00,76.0,77.51,75.97,77.44,16099212.0,132947.0,76.894695,IEX
UBER,2024-09-25 04:00:00+00:00,77.51,78.28,77.08,77.14,12552602.0,115823.0,77.549309,IEX
UBER,2024-09-26 04:00:00+00:00,78.36,78.45,75.13,76.69,14788553.0,139982.0,76.240156,IEX
UBER,2024-09-27 04:00:00+00:00,77.03,77.08,75.7,75.75,7580133.0,83659.0,76.15633,IEX
UBER,2024-09-30 04:00:00+00:00,75.32,75.72,74.255,75.16,12993585.0,104760.0,75.077136,IEX
UBER,2024-10-01 04:00:00+00:00,75.77,75.77,73.84,74.24,8980535.0,91289.0,74.498608,IEX
UBER,2024-10-02 04:00:00+00:00,74.09,74.31,72.79,72.87,11323367.0,112342.0,73.310516,IEX
UBER,2024-10-03 04:00:00+00:00,72.56,73.21,71.9,72.94,11096334.0,115370.0,72.735667,IEX
UBER,2024-10-04 04:00:00+00:00,74.11,74.32,73.22,74.28,10757712.0,101449.0,73.940132,IEX
UBER,2024-10-07 04:00:00+00:00,74.255,75.74,73.73,74.59,15328806.0,146394.0,74.69573,IEX
UBER,2024-10-08 04:00:00+00:00,75.25,77.02,75.06,76.17,17800250.0,145063.0,76.073827,IEX
UBER,2024-10-09 04:00:00+00:00,76.0,77.96,75.955,77.87,17251051.0,124257.0,77.4747,IEX
UBER,2024-10-10 04:00:00+00:00,77.65,78.24,76.9,77.92,15033626.0,133562.0,77.781064,IEX
UBER,2024-10-11 04:00:00+00:00,82.0,87.0,81.86,86.34,57290484.0,439440.0,84.920225,IEX
UBER,2024-10-14 04:00:00+00:00,85.64,86.18,84.18,84.94,14752430.0,141336.0,84.975708,IEX
UBER,2024-10-15 04:00:00+00:00,84.77,84.77,82.65,83.2,14858455.0,142706.0,83.381505,IEX
UBER,2024-10-16 04:00:00+00:00,82.93,83.48,81.62,81.9,12398522.0,121508.0,82.311549,IEX
