symbol,timestamp,open,high,low,close,volume,trade_count,vwap,exchange
AAMI,2024-09-04 04:00:00+00:00,23.44,23.71,23.35,23.66,147657.0,3469.0,23.623899,IEX
AAMI,2024-09-05 04:00:00+00:00,23.81,23.81,23.32,23.74,160154.0,4487.0,23.657833,IEX
AAMI,2024-09-06 04:00:00+00:00,23.78,23.82,23.08,23.17,176037.0,4955.0,23.220163,IEX
AAMI,2024-09-09 04:00:00+00:00,23.17,23.43,22.965,23.12,198724.0,6212.0,23.161108,IEX
AAMI,2024-09-10 04:00:00+00:00,23.1,23.37,22.65,23.36,176619.0,4498.0,23.245429,IEX
AAMI,2024-09-11 04:00:00+00:00,23.22,23.43,22.71,23.36,144916.0,4402.0,23.22819,IEX
AAMI,2024-09-12 04:00:00+00:00,23.57,23.76,23.16,23.75,115331.0,3873.0,23.675116,IEX
AAMI,2024-09-13 04:00:00+00:00,24.0,24.5,23.805,24.48,178386.0,5676.0,24.340531,IEX
AAMI,2024-09-16 04:00:00+00:00,24.63,25.09,24.5,25.03,119137.0,5382.0,24.95624,IEX
AAMI,2024-09-17 04:00:00+00:00,25.29,25.47,24.895,25.1,194010.0,6804.0,25.158067,IEX
AAMI,2024-09-18 04:00:00+00:00,25.0,25.67,25.0,25.12,172592.0,7213.0,25.1672,IEX
AAMI,2024-09-19 04:00:00+00:00,25.74,25.83,25.14,25.83,222983.0,6389.0,25.696378,IEX
AAMI,2024-09-20 04:00:00+00:00,25.91,25.91,25.46,25.56,1075656.0,7316.0,25.58685,IEX
AAMI,2024-09-23 04:00:00+00:00,25.74,25.945,25.5,25.53,127530.0,4462.0,25.603807,IEX
AAMI,2024-09-24 04:00:00+00:00,25.68,25.95,25.51,25.89,141722.0,4182.0,25.816695,IEX
AAMI,2024-09-25 04:00:00+00:00,25.8,25.85,25.51,25.67,118895.0,4578.0,25.669138,IEX
AAMI,2024-09-26 04:00:00+00:00,26.05,26.05,25.49,25.54,135352.0,4869.0,25.670891,IEX
AAMI,2024-09-27 04:00:00+00:00,25.66,26.16,25.42,25.42,130134.0,3939.0,25.530221,IEX
AAMI,2024-09-30 04:00:00+00:00,25.41,25.64,25.144,25.4,178944.0,3658.0,25.40463,IEX
AAMI,2024-10-01 04:00:00+00:00,25.05,25.205,24.025,24.26,207984.0,5457.0,24.299671,IEX
AAMI,2024-10-02 04:00:00+00:00,24.17,24.63,23.645,23.9,206007.0,4710.0,23.912995,IEX
AAMI,2024-10-03 04:00:00+00:00,23.61,23.69,22.82,23.18,272369.0,6227.0,23.185936,IEX
AAMI,2024-10-04 04:00:00+00:00,23.18,23.71,23.015,23.69,238257.0,5131.0,23.431714,IEX
AAMI,2024-10-07 04:00:00+00:00,23.58,23.58,23.095,23.33,254282.0,4160.0,23.347057,IEX
AAMI,2024-10-08 04:00:00+00:00,23.39,23.73,23.14,23.71,282418.0,3807.0,23.620994,IEX
AAMI,2024-10-09 04:00:00+00:00,23.72,24.305,23.51,24.25,212689.0,4953.0,24.147788,IEX
AAMI,2024-10-10 04:00:00+00:00,24.12,24.57,24.015,24.53,238709.0,5229.0,24.454657,IEX
AAMI,2024-10-11 04:00:00+00:00,24.99,26.06,24.78,26.04,202205.0,4244.0,25.816242,IEX
AAMI,2024-10-14 04:00:00+00:00,26.08,26.78,25.89,26.6,215321.0,5552.0,26.567851,IEX
AAMI,2024-10-15 04:00:00+00:00,26.42,27.31,26.42,26.63,212864.0,4724.0,26.901974,IEX
AAMI,2024-10-16 04:00:00+00:00,26.91,27.195,26.83,27.0,199531.0,4567.0,27.003522,IEX
AAMI,2024-10-17 04:00:00+00:00,27.19,27.28,26.95,27.07,151559.0,3550.0,27.098474,IEX
AAMI,2024-10-18 04:00:00+00:00,26.83,27.325,26.78,27.1,237895.0,5676.0,26.992322,IEX
AAMI,2024-10-21 04:00:00+00:00,27.1,27.11,26.13,26.18,118036.0,2995.0,26.263598,IEX
AAMI,2024-10-22 04:00:00+00:00,26.1,26.41,25.86,26.19,130979.0,3877.0,26.211176,IEX
AAMI,2024-10-23 04:00:00+00:00,26.09,26.44,25.36,25.63,154360.0,3713.0,25.692797,IEX
AAMI,2024-10-24 04:00:00+00:00,25.67,26.27,25.625,26.03,181302.0,3335.0,26.008612,IEX
AAMI,2024-10-25 04:00:00+00:00,26.24,26.495,25.81,25.82,103599.0,3253.0,26.045676,IEX
AAMI,2024-10-28 04:00:00+00:00,26.04,26.525,26.01,26.44,110267.0,3642.0,26.383077,IEX
AAMI,2024-10-29 04:00:00+00:00,26.19,26.625,26.19,26.33,192327.0,2873.0,26.377779,IEX
AAMI,2024-10-30 04:00:00+00:00,26.38,26.77,26.35,26.37,160996.0,4894.0,26.493166,IEX
AAMI,2024-10-31 04:00:00+00:00,27.51,27.58,26.2,26.39,160139.0,3902.0,26.584472,IEX
AAMI,2024-11-01 04:00:00+00:00,26.55,27.505,26.535,27.43,158687.0,5029.0,27.319288,IEX
AAMI,2024-11-04 05:00:00+00:00,27.33,27.59,27.0,27.39,169901.0,5180.0,27.352057,IEX
AAMI,2024-11-05 05:00:00+00:00,27.43,28.24,27.39,28.04,196519.0,6503.0,27.999664,IEX
AAMI,2024-11-06 05:00:00+00:00,29.62,30.3511,29.3,29.9,400841.0,10447.0,29.900249,IEX
AAMI,2024-11-07 05:00:00+00:00,29.72,29.895,28.94,29.32,242794.0,6584.0,29.338956,IEX
AAMI,2024-11-08 05:00:00+00:00,29.5,29.6683,29.22,29.25,251225.0,5945.0,29.33538,IEX
AAMI,2024-11-11 05:00:00+00:00,29.82,30.14,26.77,30.12,346219.0,7770.0,29.413373,IEX
AAMI,2024-11-12 05:00:00+00:00,30.18,30.4895,29.76,30.16,210723.0,6220.0,30.095423,IEX
