symbol,timestamp,open,high,low,close,volume,trade_count,vwap,exchange
ABM,2024-09-04 04:00:00+00:00,56.68,57.1,55.73,56.0,347398.0,8336.0,56.045575,IEX
ABM,2024-09-05 04:00:00+00:00,55.98,56.63,55.59,56.1,654282.0,11229.0,56.213676,IEX
ABM,2024-09-06 04:00:00+00:00,59.78,59.78,51.28,51.29,1347801.0,22404.0,52.667866,IEX
ABM,2024-09-09 04:00:00+00:00,51.61,51.7506,49.8,49.94,1391840.0,24347.0,50.312841,IEX
ABM,2024-09-10 04:00:00+00:00,50.01,50.595,49.4,49.92,614073.0,11123.0,49.926932,IEX
ABM,2024-09-11 04:00:00+00:00,49.7,49.7,48.585,49.05,485765.0,10991.0,49.01701,IEX
ABM,2024-09-12 04:00:00+00:00,49.37,49.83,49.19,49.35,352197.0,8984.0,49.40418,IEX
ABM,2024-09-13 04:00:00+00:00,50.01,51.81,49.8,51.61,467560.0,11252.0,51.37495,IEX
ABM,2024-09-16 04:00:00+00:00,51.91,53.06,51.57,51.99,475798.0,11145.0,52.048518,IEX
ABM,2024-09-17 04:00:00+00:00,52.35,52.35,50.88,50.96,390691.0,9496.0,51.372555,IEX
ABM,2024-09-18 04:00:00+00:00,51.0,51.68,50.55,50.94,730279.0,11914.0,50.949131,IEX
ABM,2024-09-19 04:00:00+00:00,51.73,52.11,50.75,51.83,647418.0,11590.0,51.752,IEX
ABM,2024-09-20 04:00:00+00:00,51.53,52.34,51.12,52.08,3721806.0,20915.0,51.973274,IEX
ABM,2024-09-23 04:00:00+00:00,52.6,52.88,51.08,51.1,782904.0,13533.0,51.455576,IEX
ABM,2024-09-24 04:00:00+00:00,51.35,51.46,49.745,50.27,1046090.0,12788.0,50.299329,IEX
ABM,2024-09-25 04:00:00+00:00,50.47,50.86,49.9,50.75,1043083.0,11694.0,50.491034,IEX
ABM,2024-09-26 04:00:00+00:00,51.15,52.215,51.065,51.73,730878.0,11624.0,51.73774,IEX
ABM,2024-09-27 04:00:00+00:00,51.91,52.215,51.15,51.36,377035.0,6525.0,51.446998,IEX
ABM,2024-09-30 04:00:00+00:00,51.45,52.94,51.44,52.76,567869.0,9516.0,52.679951,IEX
ABM,2024-10-01 04:00:00+00:00,52.64,52.73,51.59,51.65,328839.0,8726.0,51.859155,IEX
ABM,2024-10-02 04:00:00+00:00,51.45,51.98,51.2,51.55,279216.0,6417.0,51.500325,IEX
ABM,2024-10-03 04:00:00+00:00,51.04,51.31,50.65,51.18,258253.0,6122.0,51.100855,IEX
ABM,2024-10-04 04:00:00+00:00,51.74,51.99,51.155,51.3,262515.0,5670.0,51.401875,IEX
ABM,2024-10-07 04:00:00+00:00,51.02,52.31,50.84,52.29,560269.0,7613.0,52.054085,IEX
ABM,2024-10-08 04:00:00+00:00,52.58,52.95,52.3,52.31,510411.0,8968.0,52.514601,IEX
ABM,2024-10-09 04:00:00+00:00,52.35,52.92,52.1487,52.54,674701.0,5978.0,52.589928,IEX
ABM,2024-10-10 04:00:00+00:00,52.3,52.35,51.43,52.0,403336.0,6957.0,51.911069,IEX
ABM,2024-10-11 04:00:00+00:00,52.16,53.47,52.16,53.39,389938.0,8616.0,53.195224,IEX
ABM,2024-10-14 04:00:00+00:00,53.2,54.45,53.14,53.98,565039.0,8644.0,53.970779,IEX
ABM,2024-10-15 04:00:00+00:00,53.97,54.55,53.12,53.21,437185.0,9480.0,53.620426,IEX
ABM,2024-10-16 04:00:00+00:00,53.52,54.29,53.465,53.87,316830.0,7916.0,53.834386,IEX
ABM,2024-10-17 04:00:00+00:00,53.68,54.43,53.49,54.33,305735.0,7345.0,54.163181,IEX
ABM,2024-10-18 04:00:00+00:00,54.41,55.035,54.41,55.01,594989.0,8066.0,54.811475,IEX
ABM,2024-10-21 04:00:00+00:00,54.99,55.035,54.05,54.29,601547.0,8637.0,54.392819,IEX
ABM,2024-10-22 04:00:00+00:00,54.2,54.46,52.93,53.43,366530.0,7233.0,53.414684,IEX
ABM,2024-10-23 04:00:00+00:00,53.21,53.43,52.91,53.35,304656.0,7141.0,53.252886,IEX
ABM,2024-10-24 04:00:00+00:00,53.35,53.64,52.71,53.16,491414.0,7879.0,53.07355,IEX
ABM,2024-10-25 04:00:00+00:00,53.47,53.778,52.73,52.75,343020.0,7282.0,53.112404,IEX
ABM,2024-10-28 04:00:00+00:00,53.34,53.955,53.21,53.71,389130.0,7461.0,53.677739,IEX
ABM,2024-10-29 04:00:00+00:00,53.47,53.795,53.16,53.65,232241.0,5858.0,53.525178,IEX
ABM,2024-10-30 04:00:00+00:00,53.57,54.26,53.57,53.68,312317.0,7625.0,53.775189,IEX
ABM,2024-10-31 04:00:00+00:00,53.62,53.84,52.97,53.06,540066.0,7473.0,53.228727,IEX
ABM,2024-11-01 04:00:00+00:00,53.15,53.54,52.85,53.09,253047.0,6482.0,53.05652,IEX
ABM,2024-11-04 05:00:00+00:00,52.93,54.25,52.93,54.18,213655.0,6540.0,54.075913,IEX
ABM,2024-11-05 05:00:00+00:00,53.92,54.62,53.6,54.5,373022.0,7270.0,54.241647,IEX
ABM,2024-11-06 05:00:00+00:00,56.68,57.48,56.06,57.19,514424.0,12524.0,56.945585,IEX
ABM,2024-11-07 05:00:00+00:00,56.96,57.53,56.61,56.96,381512.0,7257.0,56.92917,IEX
ABM,2024-11-08 05:00:00+00:00,57.2,58.205,57.185,57.73,338876.0,7381.0,57.762513,IEX
ABM,2024-11-11 05:00:00+00:00,57.96,58.9,57.96,58.61,366617.0,7493.0,58.614599,IEX
ABM,2024-11-12 05:00:00+00:00,58.5,59.15,57.275,57.39,557403.0,9718.0,57.736069,IEX
