symbol,timestamp,open,high,low,close,volume,trade_count,vwap,exchange
OKTA,2024-09-04 04:00:00+00:00,74.95,76.9263,74.3,75.26,2407556.0,36504.0,75.695824,IEX
OKTA,2024-09-05 04:00:00+00:00,74.92,75.69,74.115,74.71,2228694.0,38689.0,74.777942,IEX
OKTA,2024-09-06 04:00:00+00:00,74.99,75.34,72.12,72.45,2462914.0,40362.0,72.999451,IEX
OKTA,2024-09-09 04:00:00+00:00,72.69,73.14,71.18,71.27,3301123.0,41930.0,71.953082,IEX
OKTA,2024-09-10 04:00:00+00:00,71.6,71.7,70.56,71.0,2880688.0,37274.0,71.008236,IEX
OKTA,2024-09-11 04:00:00+00:00,70.89,73.81,70.81,73.34,2386832.0,34640.0,73.008014,IEX
OKTA,2024-09-12 04:00:00+00:00,73.53,74.2899,73.07,73.5,2156723.0,24720.0,73.666012,IEX
OKTA,2024-09-13 04:00:00+00:00,73.75,75.09,73.58,74.06,1495980.0,26922.0,74.336817,IEX
OKTA,2024-09-16 04:00:00+00:00,74.01,74.9283,73.47,74.03,1633393.0,26472.0,74.0799,IEX
OKTA,2024-09-17 04:00:00+00:00,74.81,74.94,73.81,74.21,2555911.0,26893.0,74.252522,IEX
OKTA,2024-09-18 04:00:00+00:00,74.25,74.6,73.44,73.89,1824421.0,27107.0,73.960126,IEX
OKTA,2024-09-19 04:00:00+00:00,75.61,76.145,74.82,75.02,1940248.0,28194.0,75.414702,IEX
OKTA,2024-09-20 04:00:00+00:00,74.87,75.81,74.32,75.75,3812954.0,31299.0,75.488506,IEX
OKTA,2024-09-23 04:00:00+00:00,76.07,76.59,75.58,76.18,2299134.0,23291.0,76.204055,IEX
OKTA,2024-09-24 04:00:00+00:00,76.02,76.535,75.36,75.83,1284304.0,22956.0,75.915693,IEX
OKTA,2024-09-25 04:00:00+00:00,74.86,75.68,74.53,74.86,1899278.0,26914.0,74.980598,IEX
OKTA,2024-09-26 04:00:00+00:00,75.54,75.69,73.53,74.29,2114868.0,33607.0,74.225297,IEX
OKTA,2024-09-27 04:00:00+00:00,74.82,75.18,73.78,73.99,1796826.0,30388.0,74.261483,IEX
OKTA,2024-09-30 04:00:00+00:00,73.84,74.4931,73.65,74.34,1846163.0,27066.0,74.158709,IEX
OKTA,2024-10-01 04:00:00+00:00,74.62,74.7,72.47,72.58,1516584.0,27195.0,72.988934,IEX
OKTA,2024-10-02 04:00:00+00:00,72.62,73.21,72.27,72.39,1701519.0,26983.0,72.570953,IEX
OKTA,2024-10-03 04:00:00+00:00,71.92,72.62,71.63,72.09,1354684.0,23566.0,72.166011,IEX
OKTA,2024-10-04 04:00:00+00:00,73.29,73.29,71.755,72.31,1495121.0,26319.0,72.405477,IEX
OKTA,2024-10-07 04:00:00+00:00,72.31,72.63,71.47,71.81,1368354.0,23919.0,71.844507,IEX
OKTA,2024-10-08 04:00:00+00:00,71.92,73.31,71.92,73.22,1149025.0,19412.0,72.899539,IEX
OKTA,2024-10-09 04:00:00+00:00,73.45,76.61,73.3264,76.52,2363807.0,34795.0,75.868742,IEX
OKTA,2024-10-10 04:00:00+00:00,76.53,78.48,76.51,77.93,1938437.0,32842.0,77.668566,IEX
OKTA,2024-10-11 04:00:00+00:00,77.87,78.58,77.13,77.34,1960728.0,28130.0,77.760166,IEX
OKTA,2024-10-14 04:00:00+00:00,77.705,78.21,77.13,77.97,1341605.0,20751.0,77.797569,IEX
OKTA,2024-10-15 04:00:00+00:00,77.97,79.47,77.9,78.65,1976401.0,31025.0,78.755826,IEX
OKTA,2024-10-16 04:00:00+00:00,78.65,78.905,75.3604,75.72,4049864.0,52463.0,76.475119,IEX
OKTA,2024-10-17 04:00:00+00:00,75.56,76.075,74.38,74.45,3404600.0,43650.0,74.781758,IEX
OKTA,2024-10-18 04:00:00+00:00,74.51,75.08,74.02,74.82,2044122.0,32369.0,74.671707,IEX
OKTA,2024-10-21 04:00:00+00:00,74.64,75.8,73.93,74.04,1322253.0,22364.0,74.401658,IEX
OKTA,2024-10-22 04:00:00+00:00,73.76,74.325,73.6,74.03,1070585.0,18540.0,73.988364,IEX
OKTA,2024-10-23 04:00:00+00:00,74.0,74.36,72.11,72.16,2498779.0,23756.0,72.35891,IEX
OKTA,2024-10-24 04:00:00+00:00,72.5,72.84,71.9401,72.15,1860931.0,23008.0,72.279119,IEX
OKTA,2024-10-25 04:00:00+00:00,72.24,73.11,71.9,72.24,1556388.0,19366.0,72.387804,IEX
OKTA,2024-10-28 04:00:00+00:00,72.87,73.46,72.65,73.25,1476708.0,23577.0,73.131204,IEX
OKTA,2024-10-29 04:00:00+00:00,73.27,73.95,72.4,73.81,1170294.0,22211.0,73.687595,IEX
OKTA,2024-10-30 04:00:00+00:00,73.77,74.56,72.31,72.4,1161432.0,22258.0,72.967656,IEX
OKTA,2024-10-31 04:00:00+00:00,72.48,72.606,71.48,71.89,1647357.0,27145.0,71.947794,IEX
OKTA,2024-11-01 04:00:00+00:00,72.03,73.53,71.77,73.23,1306766.0,25166.0,73.029473,IEX
OKTA,2024-11-04 05:00:00+00:00,71.5,73.68,70.92,73.24,2389844.0,33190.0,72.831383,IEX
OKTA,2024-11-05 05:00:00+00:00,73.11,74.42,72.41,74.07,1471221.0,28224.0,73.681014,IEX
OKTA,2024-11-06 05:00:00+00:00,75.75,76.72,75.45,76.61,2485029.0,34222.0,76.282219,IEX
OKTA,2024-11-07 05:00:00+00:00,76.68,77.67,76.41,77.18,1487403.0,23750.0,77.101058,IEX
OKTA,2024-11-08 05:00:00+00:00,76.76,76.9603,75.83,76.75,1060641.0,25871.0,76.518817,IEX
OKTA,2024-11-11 05:00:00+00:00,77.01,78.61,76.925,78.45,1467089.0,24499.0,78.169682,IEX
OKTA,2024-11-12 05:00:00+00:00,77.0,79.08,76.9,78.22,1397526.0,24681.0,78.079325,IEX
OKTA,2024-11-13 05:00:00+00:00,78.06,80.71,78.0364,78.42,2213857.0,29466.0,79.238091,IEX
OKTA,2024-11-14 05:00:00+00:00,78.3,78.7327,76.42,76.93,2154426.0,28660.0,77.290779,IEX
OKTA,2024-11-15 05:00:00+00:00,76.46,76.49,73.11,73.66,1950174.0,33722.0,73.868557,IEX
OKTA,2024-11-18 05:00:00+00:00,73.67,73.92,72.1,72.88,2106406.0,31319.0,72.807951,IEX
OKTA,2024-11-19 05:00:00+00:00,72.11,74.65,71.84,74.51,2239468.0,23268.0,73.96136,IEX
OKTA,2024-11-20 05:00:00+00:00,74.58,74.86,72.88,73.69,2086834.0,28596.0,73.43858,IEX
OKTA,2024-11-21 05:00:00+00:00,74.16,77.26,74.16,75.45,6452906.0,56888.0,75.772419,IEX
OKTA,2024-11-22 05:00:00+00:00,77.13,78.62,75.315,76.57,4535107.0,50327.0,76.890163,IEX
OKTA,2024-11-25 05:00:00+00:00,77.62,78.92,76.125,76.5,3238729.0,44263.0,76.882003,IEX
OKTA,2024-11-26 05:00:00+00:00,76.3699,77.23,75.25,76.83,2875513.0,43173.0,76.178987,IEX
OKTA,2024-11-27 05:00:00+00:00,76.51,77.05,74.8101,76.42,1855178.0,30728.0,75.793,IEX
OKTA,2024-11-29 05:00:00+00:00,76.29,77.7936,76.025,77.56,2132567.0,21146.0,77.418689,IEX
OKTA,2024-12-02 05:00:00+00:00,80.0,81.44,79.2709,80.85,4462203.0,60001.0,80.651951,IEX
OKTA,2024-12-03 05:00:00+00:00,81.23,81.88,79.58,81.71,9106535.0,112844.0,80.88373,IEX
OKTA,2024-12-04 05:00:00+00:00,91.0,91.43,82.79,86.11,21083591.0,205406.0,85.702014,IEX
OKTA,2024-12-05 05:00:00+00:00,87.265,89.8,83.335,83.515,6834130.0,84916.0,85.962708,IEX
OKTA,2024-12-06 05:00:00+00:00,83.87,85.34,82.69,84.79,5295390.0,66288.0,84.599785,IEX
OKTA,2024-12-09 05:00:00+00:00,85.05,85.39,82.46,83.2,3359754.0,47618.0,83.642315,IEX
OKTA,2024-12-10 05:00:00+00:00,83.4,84.08,81.7501,82.78,3322418.0,50982.0,82.683287,IEX
OKTA,2024-12-11 05:00:00+00:00,83.76,85.78,82.809,85.0,3679668.0,49367.0,84.463927,IEX
OKTA,2024-12-12 05:00:00+00:00,84.09,84.705,83.24,83.91,2615486.0,35644.0,83.976854,IEX
OKTA,2024-12-13 05:00:00+00:00,83.99,84.11,81.93,81.99,1879478.0,30903.0,82.470841,IEX
OKTA,2024-12-16 05:00:00+00:00,84.01,85.3199,83.51,84.76,4096684.0,47837.0,84.473674,IEX
OKTA,2024-12-17 05:00:00+00:00,84.76,85.8799,83.44,85.42,4703382.0,48750.0,84.873692,IEX
