symbol,timestamp,open,high,low,close,volume,trade_count,vwap,exchange
ROKU,2024-09-04 04:00:00+00:00,64.37,65.93,63.28,63.55,2276207.0,32774.0,64.307424,IEX
ROKU,2024-09-05 04:00:00+00:00,66.85,68.4,65.3866,66.7,4953601.0,58611.0,66.868761,IEX
ROKU,2024-09-06 04:00:00+00:00,66.81,67.84,63.69,64.37,3196270.0,48124.0,64.955301,IEX
ROKU,2024-09-09 04:00:00+00:00,64.37,66.605,64.15,65.41,2507541.0,37414.0,65.494003,IEX
ROKU,2024-09-10 04:00:00+00:00,66.07,66.19,64.11,65.66,2064497.0,30530.0,65.207637,IEX
ROKU,2024-09-11 04:00:00+00:00,68.11,70.2,66.95,70.15,4670171.0,57373.0,68.968784,IEX
ROKU,2024-09-12 04:00:00+00:00,74.65,75.27,72.46,74.13,7546171.0,85532.0,73.928147,IEX
ROKU,2024-09-13 04:00:00+00:00,74.69,75.45,73.67,74.69,3092179.0,42962.0,74.601322,IEX
ROKU,2024-09-16 04:00:00+00:00,74.23,74.94,72.7309,74.37,2601747.0,39517.0,73.984524,IEX
ROKU,2024-09-17 04:00:00+00:00,75.33,76.3999,74.42,74.67,2773325.0,38794.0,75.22146,IEX
ROKU,2024-09-18 04:00:00+00:00,76.18,78.69,76.0,77.36,5671872.0,66059.0,77.20512,IEX
ROKU,2024-09-19 04:00:00+00:00,79.47,79.65,76.4133,77.45,4290578.0,46909.0,77.533074,IEX
ROKU,2024-09-20 04:00:00+00:00,76.78,77.94,75.6,76.02,4063080.0,45106.0,76.311398,IEX
ROKU,2024-09-23 04:00:00+00:00,75.96,76.3173,73.76,73.8,2734605.0,37045.0,74.530304,IEX
ROKU,2024-09-24 04:00:00+00:00,74.11,76.51,73.73,76.36,3077879.0,37865.0,75.506276,IEX
ROKU,2024-09-25 04:00:00+00:00,75.9,76.1,73.58,74.01,3146736.0,36104.0,74.366373,IEX
ROKU,2024-09-26 04:00:00+00:00,73.88,74.48,71.74,73.7,3691871.0,47565.0,73.211116,IEX
ROKU,2024-09-27 04:00:00+00:00,74.4,76.0,74.17,74.41,2841548.0,39194.0,75.069636,IEX
ROKU,2024-09-30 04:00:00+00:00,75.32,75.44,73.72,74.66,2374147.0,38788.0,74.542625,IEX
ROKU,2024-10-01 04:00:00+00:00,75.66,76.61,73.18,74.34,2987014.0,41891.0,74.626985,IEX
ROKU,2024-10-02 04:00:00+00:00,73.84,74.76,73.28,74.18,2031877.0,30843.0,73.975417,IEX
ROKU,2024-10-03 04:00:00+00:00,73.65,75.54,73.34,75.45,2021857.0,32510.0,74.770517,IEX
ROKU,2024-10-04 04:00:00+00:00,76.71,77.3,74.95,75.89,1742754.0,29530.0,75.9581,IEX
ROKU,2024-10-07 04:00:00+00:00,75.97,77.49,75.28,76.35,2585309.0,38050.0,76.474314,IEX
ROKU,2024-10-08 04:00:00+00:00,75.63,78.74,75.63,78.57,2535069.0,35497.0,77.826931,IEX
ROKU,2024-10-09 04:00:00+00:00,78.47,78.7,76.795,77.4,2621173.0,34588.0,77.658464,IEX
ROKU,2024-10-10 04:00:00+00:00,77.37,78.56,76.3262,77.37,2056900.0,27600.0,77.513823,IEX
ROKU,2024-10-11 04:00:00+00:00,77.27,79.03,77.24,78.37,2212496.0,35286.0,78.408781,IEX
ROKU,2024-10-14 04:00:00+00:00,77.96,78.147,76.155,76.36,2932504.0,36351.0,76.996068,IEX
ROKU,2024-10-15 04:00:00+00:00,76.27,79.43,76.2,78.93,3002652.0,43339.0,78.217967,IEX
ROKU,2024-10-16 04:00:00+00:00,79.01,80.77,76.53,77.56,2893794.0,43973.0,77.75538,IEX
ROKU,2024-10-17 04:00:00+00:00,77.09,78.3,76.4981,76.95,2128438.0,31223.0,77.35712,IEX
ROKU,2024-10-18 04:00:00+00:00,78.61,80.2,78.24,80.07,2874152.0,45853.0,79.390201,IEX
ROKU,2024-10-21 04:00:00+00:00,79.65,79.9,76.42,77.0,2997231.0,40868.0,77.343828,IEX
ROKU,2024-10-22 04:00:00+00:00,76.65,77.26,76.01,76.79,1661615.0,27228.0,76.736386,IEX
ROKU,2024-10-23 04:00:00+00:00,76.33,76.93,72.72,73.5,3738429.0,44126.0,74.195116,IEX
ROKU,2024-10-24 04:00:00+00:00,74.0,74.76,73.55,74.04,2287619.0,38690.0,74.031849,IEX
ROKU,2024-10-25 04:00:00+00:00,74.66,76.2299,74.25,75.27,2281507.0,38385.0,75.398338,IEX
ROKU,2024-10-28 04:00:00+00:00,75.93,77.2499,75.61,76.05,2030290.0,35178.0,76.532341,IEX
ROKU,2024-10-29 04:00:00+00:00,76.17,77.055,75.06,76.41,1956170.0,30523.0,76.369431,IEX
ROKU,2024-10-30 04:00:00+00:00,76.915,79.29,76.08,77.51,7243008.0,87773.0,77.795918,IEX
