symbol,timestamp,open,high,low,close,volume,trade_count,vwap,exchange
DDOG,2024-09-05 04:00:00+00:00,108.01,110.5,108.0,110.09,2701582.0,40624.0,109.560973,IEX
DDOG,2024-09-06 04:00:00+00:00,109.87,110.9685,105.44,107.2,3311255.0,54217.0,106.853096,IEX
DDOG,2024-09-09 04:00:00+00:00,108.27,109.02,106.74,107.7,2720517.0,42950.0,107.72464,IEX
DDOG,2024-09-10 04:00:00+00:00,108.46,110.2,107.02,108.12,2365271.0,35925.0,108.29413,IEX
DDOG,2024-09-11 04:00:00+00:00,108.41,109.66,107.145,109.52,4320113.0,57836.0,108.647857,IEX
DDOG,2024-09-12 04:00:00+00:00,110.0,110.92,109.2001,109.63,2553092.0,37482.0,110.036158,IEX
DDOG,2024-09-13 04:00:00+00:00,109.56,110.9,108.79,109.26,3142972.0,46794.0,109.61991,IEX
DDOG,2024-09-16 04:00:00+00:00,109.16,111.59,108.35,111.4,3670739.0,42855.0,110.734387,IEX
DDOG,2024-09-17 04:00:00+00:00,112.3,113.65,111.45,111.93,2419994.0,39201.0,112.297599,IEX
DDOG,2024-09-18 04:00:00+00:00,111.72,114.935,111.5,113.18,2779323.0,42661.0,113.339386,IEX
DDOG,2024-09-19 04:00:00+00:00,115.86,116.635,114.91,115.52,3133119.0,46271.0,115.653539,IEX
DDOG,2024-09-20 04:00:00+00:00,115.18,115.62,113.91,114.76,2830140.0,34916.0,114.802442,IEX
DDOG,2024-09-23 04:00:00+00:00,115.01,116.67,114.9001,116.22,1917945.0,30975.0,116.036912,IEX
DDOG,2024-09-24 04:00:00+00:00,116.58,118.38,115.66,117.31,2546010.0,38563.0,117.075869,IEX
DDOG,2024-09-25 04:00:00+00:00,116.63,117.5,115.56,116.01,2546109.0,32706.0,116.289669,IEX
DDOG,2024-09-26 04:00:00+00:00,118.2,118.23,113.1,114.21,2344306.0,36846.0,114.371698,IEX
DDOG,2024-09-27 04:00:00+00:00,115.13,115.18,113.4584,114.2,2288668.0,30276.0,114.309558,IEX
DDOG,2024-09-30 04:00:00+00:00,114.2,115.32,113.86,115.06,1563471.0,28296.0,114.77686,IEX
DDOG,2024-10-01 04:00:00+00:00,117.45,117.75,113.08,113.98,2783517.0,44311.0,114.598735,IEX
DDOG,2024-10-02 04:00:00+00:00,114.19,116.69,113.53,116.22,3193880.0,51090.0,115.789225,IEX
DDOG,2024-10-03 04:00:00+00:00,115.26,118.58,115.17,117.53,3719479.0,37363.0,117.364109,IEX
DDOG,2024-10-04 04:00:00+00:00,119.55,122.82,118.37,122.69,5219974.0,72886.0,121.383275,IEX
DDOG,2024-10-07 04:00:00+00:00,122.2,123.78,121.16,122.38,3209110.0,53743.0,122.609882,IEX
DDOG,2024-10-08 04:00:00+00:00,123.74,126.165,123.23,123.72,3838521.0,48666.0,124.358865,IEX
DDOG,2024-10-09 04:00:00+00:00,123.8,126.56,123.7,125.16,3143337.0,46722.0,125.146642,IEX
DDOG,2024-10-10 04:00:00+00:00,125.24,130.24,125.0388,130.09,4713086.0,69404.0,129.010502,IEX
DDOG,2024-10-11 04:00:00+00:00,129.89,131.2461,128.76,129.81,2651464.0,42602.0,130.237479,IEX
DDOG,2024-10-14 04:00:00+00:00,131.28,131.28,128.5545,129.12,2514133.0,41287.0,129.40048,IEX
DDOG,2024-10-15 04:00:00+00:00,128.47,128.66,125.725,126.88,2703988.0,46830.0,126.691085,IEX
DDOG,2024-10-16 04:00:00+00:00,126.43,126.8,123.29,126.0,2464065.0,43555.0,124.880001,IEX
DDOG,2024-10-17 04:00:00+00:00,127.33,127.91,124.76,126.22,2506087.0,35814.0,126.315813,IEX
DDOG,2024-10-18 04:00:00+00:00,129.0,130.17,127.19,128.12,3575210.0,58273.0,128.440917,IEX
DDOG,2024-10-21 04:00:00+00:00,126.12,128.8,124.93,125.81,3279117.0,41046.0,126.066511,IEX
DDOG,2024-10-22 04:00:00+00:00,125.0,126.0,123.13,124.62,1886409.0,35496.0,124.435118,IEX
DDOG,2024-10-23 04:00:00+00:00,124.62,125.51,121.07,121.52,2078442.0,42012.0,122.029309,IEX
DDOG,2024-10-24 04:00:00+00:00,122.75,124.0,122.35,123.89,2021313.0,34740.0,123.549034,IEX
DDOG,2024-10-25 04:00:00+00:00,124.9,127.72,124.77,126.6,3396648.0,53462.0,126.841316,IEX
DDOG,2024-10-28 04:00:00+00:00,127.29,127.95,125.75,126.37,2383456.0,35366.0,126.359407,IEX
DDOG,2024-10-29 04:00:00+00:00,127.2,129.31,125.85,128.76,3551871.0,42356.0,128.497369,IEX
DDOG,2024-10-30 04:00:00+00:00,129.82,131.84,127.92,128.16,2809295.0,51973.0,129.313533,IEX
DDOG,2024-10-31 04:00:00+00:00,126.25,126.4342,124.0,125.44,3446340.0,56078.0,125.358639,IEX
DDOG,2024-11-01 04:00:00+00:00,124.43,124.57,120.78,123.26,4838712.0,69785.0,123.178787,IEX
DDOG,2024-11-04 05:00:00+00:00,122.51,127.1,121.7,125.56,3294045.0,55403.0,125.228689,IEX
DDOG,2024-11-05 05:00:00+00:00,126.74,126.99,124.81,125.05,2540991.0,44173.0,125.306099,IEX
DDOG,2024-11-06 05:00:00+00:00,129.05,129.15,127.06,128.35,5855157.0,89248.0,128.039337,IEX
