symbol,timestamp,open,high,low,close,volume,trade_count,vwap,exchange
ZM,2024-09-06 04:00:00+00:00,67.93,68.56,66.6,67.18,2797510.0,42547.0,67.248384,IEX
ZM,2024-09-09 04:00:00+00:00,66.96,67.56,66.44,66.59,2780660.0,38888.0,66.878174,IEX
ZM,2024-09-10 04:00:00+00:00,66.87,66.88,65.87,66.7,3476007.0,42915.0,66.510363,IEX
ZM,2024-09-11 04:00:00+00:00,66.61,67.58,66.26,67.3,3516737.0,41167.0,67.119683,IEX
ZM,2024-09-12 04:00:00+00:00,67.47,67.5,65.98,66.55,2184375.0,31135.0,66.520267,IEX
ZM,2024-09-13 04:00:00+00:00,66.51,67.99,66.445,67.59,2061795.0,33388.0,67.570881,IEX
ZM,2024-09-16 04:00:00+00:00,67.47,68.57,67.39,67.62,4054926.0,43473.0,68.029689,IEX
ZM,2024-09-17 04:00:00+00:00,68.12,68.55,67.7,68.11,2305249.0,39231.0,68.116338,IEX
ZM,2024-09-18 04:00:00+00:00,67.78,67.905,65.91,66.04,2571664.0,42306.0,66.301703,IEX
ZM,2024-09-19 04:00:00+00:00,67.06,67.6525,66.72,66.91,1908025.0,32662.0,67.07955,IEX
ZM,2024-09-20 04:00:00+00:00,66.89,67.58,66.76,67.53,4368469.0,34936.0,67.456301,IEX
ZM,2024-09-23 04:00:00+00:00,67.66,68.96,67.51,68.79,2526589.0,39814.0,68.586511,IEX
ZM,2024-09-24 04:00:00+00:00,69.41,70.17,68.6512,69.43,2294711.0,36200.0,69.475375,IEX
ZM,2024-09-25 04:00:00+00:00,68.96,69.36,67.785,67.95,2480000.0,37881.0,68.107306,IEX
ZM,2024-09-26 04:00:00+00:00,68.43,69.35,68.13,68.9,2018850.0,31808.0,68.878149,IEX
ZM,2024-09-27 04:00:00+00:00,69.01,69.59,68.7205,69.55,1417595.0,27533.0,69.348713,IEX
ZM,2024-09-30 04:00:00+00:00,69.48,70.33,69.3,69.74,2024598.0,33584.0,69.744751,IEX
ZM,2024-10-01 04:00:00+00:00,69.61,69.92,68.21,68.64,1930617.0,33423.0,68.742885,IEX
ZM,2024-10-02 04:00:00+00:00,68.33,68.49,67.505,67.61,1786706.0,34799.0,67.726936,IEX
ZM,2024-10-03 04:00:00+00:00,67.27,67.58,66.873,67.21,1633300.0,24386.0,67.258074,IEX
ZM,2024-10-04 04:00:00+00:00,68.0,68.69,67.58,68.66,1875554.0,31930.0,68.283229,IEX
ZM,2024-10-07 04:00:00+00:00,69.09,69.3,67.82,68.16,2110766.0,32750.0,68.299016,IEX
ZM,2024-10-08 04:00:00+00:00,68.3,68.62,66.98,68.32,2496956.0,34160.0,68.124882,IEX
ZM,2024-10-09 04:00:00+00:00,68.12,70.34,68.12,69.97,4297157.0,51067.0,69.596618,IEX
ZM,2024-10-10 04:00:00+00:00,69.51,71.37,69.36,70.85,4969599.0,69297.0,70.639564,IEX
ZM,2024-10-11 04:00:00+00:00,70.71,71.45,70.5,70.68,2967268.0,43792.0,70.993205,IEX
ZM,2024-10-14 04:00:00+00:00,70.98,71.07,67.645,67.89,3658260.0,53347.0,68.437787,IEX
ZM,2024-10-15 04:00:00+00:00,67.74,68.73,67.66,68.42,2735463.0,37451.0,68.272459,IEX
ZM,2024-10-16 04:00:00+00:00,68.22,69.09,68.05,68.93,1954189.0,30611.0,68.736604,IEX
ZM,2024-10-17 04:00:00+00:00,69.42,70.325,68.7201,70.2,1939834.0,33632.0,69.839337,IEX
ZM,2024-10-18 04:00:00+00:00,70.39,70.74,70.15,70.52,1444812.0,27452.0,70.472746,IEX
ZM,2024-10-21 04:00:00+00:00,70.27,72.36,70.2,72.17,2805098.0,41982.0,71.663259,IEX
ZM,2024-10-22 04:00:00+00:00,72.0,73.1199,71.71,72.22,2710070.0,42322.0,72.243239,IEX
ZM,2024-10-23 04:00:00+00:00,72.01,73.18,71.76,72.54,2654442.0,39437.0,72.589897,IEX
ZM,2024-10-24 04:00:00+00:00,72.74,73.99,72.36,72.66,2926710.0,39358.0,73.019101,IEX
ZM,2024-10-25 04:00:00+00:00,72.78,73.75,72.61,72.63,2073255.0,31481.0,72.997087,IEX
ZM,2024-10-28 04:00:00+00:00,72.93,74.16,72.6782,73.85,2129811.0,35981.0,73.761999,IEX
ZM,2024-10-29 04:00:00+00:00,73.85,75.96,73.65,75.5,3571212.0,50539.0,75.398809,IEX
ZM,2024-10-30 04:00:00+00:00,75.39,75.83,74.73,74.78,2008558.0,32666.0,75.179057,IEX
ZM,2024-10-31 04:00:00+00:00,74.67,75.51,74.63,74.74,1723146.0,29963.0,74.925631,IEX
ZM,2024-11-01 04:00:00+00:00,74.69,76.03,74.58,75.6,1973480.0,35567.0,75.6041,IEX
ZM,2024-11-04 05:00:00+00:00,75.53,75.97,74.52,75.54,1551104.0,30156.0,75.625419,IEX
ZM,2024-11-05 05:00:00+00:00,75.79,77.85,75.72,77.75,2568430.0,40503.0,77.13193,IEX
ZM,2024-11-06 05:00:00+00:00,78.2,80.35,78.16,79.69,3880259.0,57126.0,79.639596,IEX
ZM,2024-11-07 05:00:00+00:00,79.69,80.47,78.54,80.19,2288590.0,40093.0,79.844804,IEX
ZM,2024-11-08 05:00:00+00:00,80.52,81.57,80.21,81.46,2839793.0,45568.0,81.05268,IEX
ZM,2024-11-11 05:00:00+00:00,81.87,86.23,81.83,85.58,5447362.0,80798.0,85.252336,IEX
ZM,2024-11-12 05:00:00+00:00,84.73,87.1,84.07,86.32,3942995.0,55282.0,86.017029,IEX
ZM,2024-11-13 05:00:00+00:00,86.51,87.1451,84.65,85.04,2728978.0,41204.0,85.391141,IEX
ZM,2024-11-14 05:00:00+00:00,84.87,84.89,82.4,82.63,2906182.0,52887.0,82.875165,IEX
ZM,2024-11-15 05:00:00+00:00,81.52,81.98,80.92,81.14,2234811.0,42704.0,81.289663,IEX
ZM,2024-11-18 05:00:00+00:00,81.21,81.21,78.88,78.93,4177392.0,46162.0,79.707185,IEX
ZM,2024-11-19 05:00:00+00:00,78.82,79.03,77.495,77.75,4138368.0,47032.0,77.939398,IEX
ZM,2024-11-20 05:00:00+00:00,77.88,79.24,77.88,78.86,2317080.0,35424.0,78.547661,IEX
ZM,2024-11-21 05:00:00+00:00,78.96,81.65,78.9,81.2,3961971.0,54309.0,80.858571,IEX
ZM,2024-11-22 05:00:00+00:00,81.4,86.0,81.4,85.88,5636077.0,79054.0,84.914161,IEX
ZM,2024-11-25 05:00:00+00:00,88.3,92.8,88.215,89.03,17383638.0,179601.0,89.79608,IEX
ZM,2024-11-26 05:00:00+00:00,84.02,85.0,81.22,83.41,12886590.0,156893.0,82.821217,IEX
ZM,2024-11-27 05:00:00+00:00,84.09,85.8,83.78,85.36,5212338.0,67060.0,85.036146,IEX
ZM,2024-11-29 05:00:00+00:00,84.8,85.65,82.34,82.69,3233858.0,41604.0,83.270346,IEX
ZM,2024-12-02 05:00:00+00:00,82.5,84.8745,82.17,83.11,2943939.0,46815.0,83.441232,IEX
ZM,2024-12-03 05:00:00+00:00,82.64,82.99,81.76,82.63,2303548.0,36809.0,82.460089,IEX
ZM,2024-12-04 05:00:00+00:00,82.9,84.14,82.28,83.65,3143744.0,50313.0,83.515137,IEX
ZM,2024-12-05 05:00:00+00:00,83.99,85.12,83.31,83.36,2173383.0,41966.0,84.019239,IEX
ZM,2024-12-06 05:00:00+00:00,83.76,86.75,83.76,86.22,3359174.0,48716.0,86.083426,IEX
ZM,2024-12-09 05:00:00+00:00,85.88,87.72,85.505,85.58,3518613.0,55646.0,86.224977,IEX
ZM,2024-12-10 05:00:00+00:00,84.76,85.5,83.46,83.83,3744004.0,46914.0,84.4727,IEX
ZM,2024-12-11 05:00:00+00:00,84.15,86.8,83.93,86.59,3501139.0,48164.0,85.85204,IEX
ZM,2024-12-12 05:00:00+00:00,85.68,87.28,85.43,87.05,2103629.0,33107.0,86.749522,IEX
ZM,2024-12-13 05:00:00+00:00,86.81,87.3,83.38,83.79,2627082.0,44539.0,84.60678,IEX
ZM,2024-12-16 05:00:00+00:00,84.055,84.64,83.2216,83.8,2646583.0,43640.0,83.848807,IEX
ZM,2024-12-17 05:00:00+00:00,83.16,84.7,82.55,84.6,2517510.0,45054.0,84.077781,IEX
ZM,2024-12-18 05:00:00+00:00,84.9,85.78,81.62,82.05,2796739.0,41294.0,83.605627,IEX
ZM,2024-12-19 05:00:00+00:00,84.63,85.33,83.65,84.05,3662486.0,48507.0,84.365784,IEX
ZM,2024-12-20 05:00:00+00:00,83.2,86.1,82.8596,85.6,5091135.0,39535.0,85.444577,IEX
ZM,2024-12-23 05:00:00+00:00,85.25,85.7399,84.41,85.27,2377218.0,28873.0,85.235705,IEX
ZM,2024-12-24 05:00:00+00:00,85.0,86.0,84.815,85.67,902862.0,15084.0,85.602205,IEX
ZM,2024-12-26 05:00:00+00:00,85.16,86.14,84.85,85.44,1980748.0,25322.0,85.585687,IEX
ZM,2024-12-27 05:00:00+00:00,85.2,85.495,82.72,83.82,2140487.0,30643.0,83.715388,IEX
ZM,2024-12-30 05:00:00+00:00,82.78,83.22,81.6,82.73,1476543.0,30421.0,82.652259,IEX
ZM,2024-12-31 05:00:00+00:00,83.0,83.005,81.27,81.61,1952398.0,28215.0,81.790869,IEX
ZM,2025-01-02 05:00:00+00:00,82.51,82.79,80.88,81.58,1775160.0,31842.0,81.635246,IEX
ZM,2025-01-03 05:00:00+00:00,81.43,82.78,81.4,82.7,1640222.0,25662.0,82.468477,IEX
ZM,2025-01-06 05:00:00+00:00,83.17,84.19,81.995,82.34,2425896.0,33709.0,82.626731,IEX
ZM,2025-01-07 05:00:00+00:00,83.8,84.03,80.12,80.45,2150040.0,31586.0,81.098936,IEX
ZM,2025-01-08 05:00:00+00:00,80.12,80.6559,78.86,79.9,2850832.0,40812.0,79.690002,IEX
ZM,2025-01-10 05:00:00+00:00,78.575,79.815,78.02,79.46,2750371.0,37331.0,79.118758,IEX
ZM,2025-01-13 05:00:00+00:00,78.53,79.72,78.53,78.82,1885020.0,30943.0,78.96592,IEX
ZM,2025-01-14 05:00:00+00:00,79.68,80.24,78.53,79.2,1537464.0,29881.0,79.243523,IEX
ZM,2025-01-15 05:00:00+00:00,80.12,80.82,79.3601,80.26,2045875.0,33176.0,80.306371,IEX
ZM,2025-01-16 05:00:00+00:00,80.3,80.465,79.27,79.44,1803396.0,29752.0,79.721229,IEX
ZM,2025-01-17 05:00:00+00:00,80.04,80.21,78.01,78.07,2924031.0,40807.0,78.411333,IEX
ZM,2025-01-21 05:00:00+00:00,78.79,79.21,77.6,78.54,2470802.0,35327.0,78.440582,IEX
ZM,2025-01-22 05:00:00+00:00,79.04,79.36,78.0701,79.28,2288069.0,32832.0,78.866948,IEX
ZM,2025-01-23 05:00:00+00:00,79.27,80.03,76.38,80.01,3526358.0,44078.0,78.978473,IEX
ZM,2025-01-24 05:00:00+00:00,80.75,82.305,79.99,80.17,2100089.0,31970.0,80.459844,IEX
ZM,2025-01-27 05:00:00+00:00,79.02,82.28,78.78,82.0,2259128.0,36680.0,81.641901,IEX
ZM,2025-01-28 05:00:00+00:00,82.45,88.9,82.36,88.64,4971821.0,69394.0,87.132125,IEX
ZM,2025-01-29 05:00:00+00:00,88.4,88.4,86.37,87.2,2200611.0,35815.0,87.235767,IEX
ZM,2025-01-30 05:00:00+00:00,86.96,87.95,86.15,87.29,1699885.0,29846.0,87.23472,IEX
