symbol,timestamp,open,high,low,close,volume,trade_count,vwap,exchange
ACRE,2024-09-04 04:00:00+00:00,7.03,7.035,6.89,6.94,596964.0,4326.0,6.947925,IEX
ACRE,2024-09-05 04:00:00+00:00,7.0,7.0855,6.925,6.96,396138.0,3369.0,6.988408,IEX
ACRE,2024-09-06 04:00:00+00:00,6.96,7.02,6.9,7.0,491450.0,4487.0,6.965466,IEX
ACRE,2024-09-09 04:00:00+00:00,7.01,7.0639,6.96,7.01,398789.0,3012.0,7.013503,IEX
ACRE,2024-09-10 04:00:00+00:00,7.01,7.065,6.97,7.06,338419.0,3907.0,7.028901,IEX
ACRE,2024-09-11 04:00:00+00:00,7.01,7.055,6.92,7.01,386958.0,3519.0,6.990377,IEX
ACRE,2024-09-12 04:00:00+00:00,7.05,7.24,7.0,7.24,333331.0,2760.0,7.149084,IEX
ACRE,2024-09-13 04:00:00+00:00,7.32,7.54,7.27,7.54,420282.0,3645.0,7.426689,IEX
ACRE,2024-09-16 04:00:00+00:00,7.54,7.63,7.48,7.6,465084.0,4589.0,7.560993,IEX
ACRE,2024-09-17 04:00:00+00:00,7.64,7.694,7.56,7.6,441188.0,3780.0,7.609782,IEX
ACRE,2024-09-18 04:00:00+00:00,7.61,7.735,7.55,7.66,326066.0,3184.0,7.644075,IEX
ACRE,2024-09-19 04:00:00+00:00,7.79,7.83,7.6833,7.81,380620.0,3696.0,7.7662,IEX
ACRE,2024-09-20 04:00:00+00:00,7.63,7.63,7.24,7.37,1264064.0,6431.0,7.41034,IEX
ACRE,2024-09-23 04:00:00+00:00,7.38,7.47,7.31,7.31,302814.0,2759.0,7.369693,IEX
ACRE,2024-09-24 04:00:00+00:00,7.31,7.3808,7.25,7.36,336096.0,3590.0,7.332348,IEX
ACRE,2024-09-25 04:00:00+00:00,7.36,7.36,7.17,7.17,560159.0,3800.0,7.228922,IEX
ACRE,2024-09-26 04:00:00+00:00,7.29,7.355,7.25,7.31,352654.0,3062.0,7.31503,IEX
ACRE,2024-09-27 04:00:00+00:00,7.42,7.51,7.295,7.31,550213.0,4164.0,7.375147,IEX
ACRE,2024-09-30 04:00:00+00:00,7.06,7.1,7.0,7.0,1046391.0,6798.0,7.024671,IEX
ACRE,2024-10-01 04:00:00+00:00,7.01,7.02,6.72,6.8,765455.0,5925.0,6.828083,IEX
ACRE,2024-10-02 04:00:00+00:00,6.78,6.805,6.7,6.7,551299.0,4653.0,6.743529,IEX
ACRE,2024-10-03 04:00:00+00:00,6.71,6.795,6.635,6.75,408747.0,3298.0,6.726023,IEX
ACRE,2024-10-04 04:00:00+00:00,6.84,6.84,6.6721,6.79,439253.0,3384.0,6.744693,IEX
ACRE,2024-10-07 04:00:00+00:00,6.73,6.78,6.62,6.63,505682.0,3789.0,6.666149,IEX
ACRE,2024-10-08 04:00:00+00:00,6.63,6.69,6.57,6.64,371858.0,2473.0,6.615374,IEX
ACRE,2024-10-09 04:00:00+00:00,6.66,6.66,6.56,6.56,336093.0,2691.0,6.590539,IEX
ACRE,2024-10-10 04:00:00+00:00,6.54,6.57,6.45,6.49,424413.0,3696.0,6.493435,IEX
ACRE,2024-10-11 04:00:00+00:00,6.49,6.54,6.4,6.47,528808.0,3885.0,6.452334,IEX
ACRE,2024-10-14 04:00:00+00:00,6.45,6.64,6.44,6.6,530756.0,4353.0,6.58972,IEX
ACRE,2024-10-15 04:00:00+00:00,6.6,6.735,6.6,6.61,594642.0,5842.0,6.652711,IEX
ACRE,2024-10-16 04:00:00+00:00,6.65,6.82,6.63,6.79,400359.0,3613.0,6.725191,IEX
ACRE,2024-10-17 04:00:00+00:00,6.72,6.78,6.6148,6.67,378860.0,3079.0,6.659215,IEX
ACRE,2024-10-18 04:00:00+00:00,6.68,6.755,6.67,6.71,281794.0,2411.0,6.708693,IEX
ACRE,2024-10-21 04:00:00+00:00,6.71,6.71,6.545,6.58,384301.0,3030.0,6.582875,IEX
ACRE,2024-10-22 04:00:00+00:00,6.56,6.615,6.55,6.56,258792.0,2126.0,6.571524,IEX
ACRE,2024-10-23 04:00:00+00:00,6.55,6.605,6.44,6.55,398640.0,3094.0,6.516591,IEX
ACRE,2024-10-24 04:00:00+00:00,6.59,6.6,6.47,6.59,274147.0,2583.0,6.541977,IEX
ACRE,2024-10-25 04:00:00+00:00,6.65,6.66,6.44,6.45,275220.0,2579.0,6.504398,IEX
ACRE,2024-10-28 04:00:00+00:00,6.49,6.56,6.44,6.46,298344.0,2681.0,6.486638,IEX
ACRE,2024-10-29 04:00:00+00:00,6.45,6.5,6.35,6.41,412333.0,3334.0,6.410786,IEX
ACRE,2024-10-30 04:00:00+00:00,6.39,6.53,6.39,6.47,281233.0,2667.0,6.476891,IEX
ACRE,2024-10-31 04:00:00+00:00,6.47,6.485,6.35,6.35,444127.0,3332.0,6.380091,IEX
ACRE,2024-11-01 04:00:00+00:00,6.42,6.47,6.31,6.33,394611.0,3354.0,6.353067,IEX
ACRE,2024-11-04 05:00:00+00:00,6.35,6.4154,6.27,6.3,511297.0,4853.0,6.329593,IEX
ACRE,2024-11-05 05:00:00+00:00,6.3,6.3399,6.2505,6.32,378090.0,3860.0,6.289017,IEX
ACRE,2024-11-06 05:00:00+00:00,6.49,6.6,6.33,6.49,624965.0,6024.0,6.456307,IEX
ACRE,2024-11-07 05:00:00+00:00,6.44,7.3,6.44,7.15,1307057.0,8300.0,7.033922,IEX
ACRE,2024-11-08 05:00:00+00:00,7.13,7.3699,7.04,7.24,719320.0,5994.0,7.275856,IEX
ACRE,2024-11-11 05:00:00+00:00,7.27,7.29,7.09,7.21,459884.0,4558.0,7.185442,IEX
ACRE,2024-11-12 05:00:00+00:00,7.14,7.18,6.99,6.99,382428.0,5278.0,7.063003,IEX
