symbol,timestamp,open,high,low,close,volume,trade_count,vwap,exchange
INTC,2024-09-06 04:00:00+00:00,19.44,19.49,18.64,18.89,92686460.0,382281.0,18.916988,IEX
INTC,2024-09-09 04:00:00+00:00,19.0,19.54,18.95,19.07,64244126.0,239489.0,19.171909,IEX
INTC,2024-09-10 04:00:00+00:00,19.03,19.11,18.51,18.98,55621273.0,230292.0,18.807835,IEX
INTC,2024-09-11 04:00:00+00:00,19.01,19.69,18.52,19.64,71403141.0,262888.0,19.17708,IEX
INTC,2024-09-12 04:00:00+00:00,19.43,19.54,19.04,19.36,51602918.0,244091.0,19.346859,IEX
INTC,2024-09-13 04:00:00+00:00,19.49,19.8,19.49,19.66,44236271.0,208925.0,19.657071,IEX
INTC,2024-09-16 04:00:00+00:00,20.03,21.0699,19.76,20.91,149337028.0,525229.0,20.547749,IEX
INTC,2024-09-17 04:00:00+00:00,21.71,22.58,21.24,21.47,196249783.0,674898.0,21.789365,IEX
INTC,2024-09-18 04:00:00+00:00,21.36,21.74,20.715,20.77,118727940.0,417604.0,21.11095,IEX
INTC,2024-09-19 04:00:00+00:00,21.28,21.69,21.03,21.14,99829168.0,355462.0,21.311872,IEX
INTC,2024-09-20 04:00:00+00:00,20.89,23.14,20.35,21.84,260377912.0,709197.0,21.752052,IEX
INTC,2024-09-23 04:00:00+00:00,22.43,22.82,22.03,22.56,184439134.0,674512.0,22.475388,IEX
INTC,2024-09-24 04:00:00+00:00,22.53,23.105,22.285,22.81,113082534.0,355720.0,22.790006,IEX
INTC,2024-09-25 04:00:00+00:00,22.8,24.055,22.73,23.54,117013357.0,421892.0,23.612906,IEX
INTC,2024-09-26 04:00:00+00:00,24.28,24.42,23.25,23.92,95416939.0,379479.0,23.789409,IEX
INTC,2024-09-27 04:00:00+00:00,24.16,24.66,23.7034,23.91,85883278.0,309178.0,24.047512,IEX
INTC,2024-09-30 04:00:00+00:00,23.74,23.95,23.09,23.46,66460225.0,245073.0,23.42662,IEX
INTC,2024-10-01 04:00:00+00:00,23.46,23.72,22.255,22.69,86344357.0,283472.0,22.727411,IEX
INTC,2024-10-02 04:00:00+00:00,22.67,23.0668,22.35,22.39,59033896.0,224265.0,22.660846,IEX
INTC,2024-10-03 04:00:00+00:00,22.14,22.73,21.65,22.26,49565931.0,212646.0,22.272199,IEX
INTC,2024-10-04 04:00:00+00:00,22.7,22.91,22.3,22.59,49966930.0,197443.0,22.555155,IEX
INTC,2024-10-07 04:00:00+00:00,22.4,22.65,22.0209,22.38,54928674.0,188097.0,22.398735,IEX
INTC,2024-10-08 04:00:00+00:00,22.25,23.42,22.045,23.32,58650461.0,227620.0,22.941922,IEX
