symbol,name,exchange,type,tradable
A,Agilent Technologies Inc.,XNYS,CS,True
AA,Alcoa Corporation,XNYS,CS,True
AACB,Artius II Acquisition Inc. Class A Ordinary Shares,XNAS,CS,True
AAL,American Airlines Group Inc.,XNAS,CS,True
AAM,AA Mission Acquisition Corp.,XNYS,CS,True
AAME,Atlantic American Corp,XNAS,CS,True
AAMI,Acadian Asset Management Inc.,XNYS,CS,True
AAOI,"Applied Optoelectronics, Inc.",XNAS,CS,True
AAON,Aaon Inc,XNAS,CS,True
AAP,ADVANCE AUTO PARTS INC,XNYS,CS,True
AAPG,Ascentage Pharma Group International American Depository Shares,XNAS,ADRC,True
AAPL,Apple Inc.,XNAS,CS,True
AARD,"Aardvark Therapeutics, Inc. Common Stock",XNAS,CS,True
AAUC,Allied Gold Corporation,XNYS,CS,True
AB,"AllianceBernstein Holding, L.P.",XNYS,CS,True
ABAT,American Battery Technology Company Common Stock,XNAS,CS,True
ABBV,ABBVIE INC.,XNYS,CS,True
ABCL,AbCellera Biologics Inc. Common Shares,XNAS,CS,True
ABEO,Abeona Therapeutics Inc. Common Stock,XNAS,CS,True
ABEV,AMBEV S.A.,XNYS,ADRC,True
ABG,"Asbury Automotive Group, Inc.",XNYS,CS,True
ABLV,Able View Global Inc. Class B Ordinary Shares,XNAS,CS,True
ABM,"ABM Industries, Inc.",XNYS,CS,True
ABNB,"Airbnb, Inc. Class A Common Stock",XNAS,CS,True
ABOS,"Acumen Pharmaceuticals, Inc. Common Stock",XNAS,CS,True
ABP,"Abpro Holdings, Inc Common Stock",XNAS,CS,True
ABSI,Absci Corporation Common Stock,XNAS,CS,True
ABT,Abbott Laboratories,XNYS,CS,True
ABTC,American Bitcoin Corp. Class A Common Stock,XNAS,CS,True
ABTS,Abits Group Inc Ordinary Shares,XNAS,CS,True
ABUS,Arbutus Biopharma Corporation Common Stock,XNAS,CS,True
ABVC,"ABVC BioPharma, Inc. Common Stock",XNAS,CS,True
ABVE,Above Food Ingredients Inc. Common Stock,XNAS,CS,True
ABX,"Abacus Global Management, Inc.",XNYS,CS,True
ACA,"Arcosa, Inc. Common Stock",XNYS,CS,True
ACAD,Acadia Pharmaceuticals Inc.,XNAS,CS,True
ACB,Aurora Cannabis Inc. Common Shares,XNAS,CS,True
ACCL,Acco Group Holdings Limited Ordinary Shares,XNAS,CS,True
ACCO,Acco Brands Corporation,XNYS,CS,True
ACDC,ProFrac Holding Corp. Class A Common Stock,XNAS,CS,True
ACEL,"Accel Entertainment, Inc.",XNYS,CS,True
ACET,"Adicet Bio, Inc. Common Stock",XNAS,CS,True
ACFN,"Acorn Energy, Inc. Common Stock",XNAS,CS,True
ACGL,Arch Capital Group Ltd,XNAS,CS,True
ACH,"Accendra Health, Inc.",XNYS,CS,True
ACHC,"Acadia Healthcare Company, Inc.",XNAS,CS,True
ACHR,Archer Aviation Inc.,XNYS,CS,True
ACHV,"Achieve Life Sciences, Inc.",XNAS,CS,True
ACI,"Albertsons Companies, Inc.",XNYS,CS,True
ACIC,American Coastal Insurance Corporation Common Stock,XNAS,CS,True
ACIU,AC Immune SA,XNAS,CS,True
ACIW,"ACI Worldwide, Inc.",XNAS,CS,True
ACLS,Axcelis Technologies Inc,XNAS,CS,True
ACLX,"Arcellx, Inc. Common Stock",XNAS,CS,True
ACM,Aecom,XNYS,CS,True
ACMR,"ACM Research, Inc. Class A Common Stock",XNAS,CS,True
ACN,Accenture PLC,XNYS,CS,True
ACNB,ACNB Corp,XNAS,CS,True
ACNT,Ascent Industries Co. Common Stock,XNAS,CS,True
ACOG,Alpha Cognition Inc. Common Stock,XNAS,CS,True
ACON,"Aclarion, Inc. Common Stock",XNAS,CS,True
ACRS,"Aclaris Therapeutics, Inc.",XNAS,CS,True
ACRV,"Acrivon Therapeutics, Inc. Common Stock",XNAS,CS,True
ACT,"Enact Holdings, Inc. Common Stock",XNAS,CS,True
ACTG,Acacia Research Corporation,XNAS,CS,True
ACTU,"Actuate Therapeutics, Inc. Common stock",XNAS,CS,True
ACVA,ACV Auctions Inc.,XNYS,CS,True
ACXP,"Acurx Pharmaceuticals, Inc. Common Stock",XNAS,CS,True
AD,"Array Digital Infrastructure, Inc.",XNYS,CS,True
ADBE,Adobe Inc.,XNAS,CS,True
ADCT,ADC Therapeutics SA,XNYS,CS,True
ADEA,Adeia Inc. Common Stock,XNAS,CS,True
ADGM,"Adagio Medical Holdings, Inc Common Stock",XNAS,CS,True
ADI,"Analog Devices, Inc.",XNAS,CS,True
ADIL,"Adial Pharmaceuticals, Inc",XNAS,CS,True
ADM,Archer Daniels Midland Company,XNYS,CS,True
ADMA,"ADMA Biologics, Inc.",XNAS,CS,True
ADNT,Adient plc Ordinary Shares,XNYS,CS,True
ADP,Automatic Data Processing,XNAS,CS,True
ADPT,Adaptive Biotechnologies Corporation Common Stock,XNAS,CS,True
ADSE,ADS-TEC ENERGY PLC Ordinary Shares,XNAS,CS,True
ADSK,Autodesk Inc,XNAS,CS,True
ADT,ADT Inc.,XNYS,CS,True
ADTN,"ADTRAN Holdings, Inc. Common Stock",XNAS,CS,True
ADTX,"Aditxt, Inc. Common Stock",XNAS,CS,True
ADUR,Aduro Clean Technologies Inc. Common Stock,XNAS,CS,True
ADUS,Addus HomeCare Corp.,XNAS,CS,True
ADV,Advantage Solutions Inc. Class A Common Stock,XNAS,CS,True
ADVB,Advanced Biomed Inc. Common Stock,XNAS,CS,True
AEBI,Aebi Schmidt Holding AG Common Stock,XNAS,CS,True
AEC,Anfield Energy Inc. Common Shares,XNAS,CS,True
AEE,Ameren Corporation,XNYS,CS,True
AEG,Aegon Ltd.,XNYS,CS,True
AEHL,Antelope Enterprise Holdings Limited Class A Ordinary Shares,XNAS,CS,True
AEHR,Aehr Test Systems,XNAS,CS,True
AEI,Alset Inc. Common Stock (TX),XNAS,CS,True
AEIS,Advanced Energy Industries Inc,XNAS,CS,True
AEM,Agnico Eagle Mines Ltd.,XNYS,CS,True
AEMD,AETHLON MEDICAL INC,XNAS,CS,True
AENT,Alliance Entertainment Holding Corporation Class A Common Stock,XNAS,CS,True
AEO,American Eagle Outfitters,XNYS,CS,True
AER,Aercap Holdings N.V.,XNYS,CS,True
AERT,"Aeries Technology, Inc. Class A Ordinary Share",XNAS,CS,True
AES,AES Corporation,XNYS,CS,True
AESI,Atlas Energy Solutions Inc.,XNYS,CS,True
AEVA,"Aeva Technologies, Inc.",XNAS,CS,True
AEXA,American Exceptionalism Acquisition Corp. A,XNYS,CS,True
AEYE,"AudioEye, Inc. Common Stock",XNAS,CS,True
AFCG,Advanced Flower Capital Inc. Common Stock,XNAS,CS,True
AFG,"American Financial Group, Inc.",XNYS,CS,True
AFJK,"Aimei Health Technology Co., Ltd Ordinary Share",XNAS,CS,True
AFL,Aflac Inc.,XNYS,CS,True
AFRI,Forafric Global PLC Ordinary Shares,XNAS,CS,True
AFRM,"Affirm Holdings, Inc. Class A Common Stock",XNAS,CS,True
AFYA,Afya Limited Class A Common Shares,XNAS,CS,True
AG,FIRST MAJESTIC SILVER CORP,XNYS,CS,True
AGAE,Allied Gaming & Entertainment Inc. Common Stock,XNAS,CS,True
AGCC,Agencia Comercial Spirits Ltd Class A Ordinary Shares,XNAS,CS,True
AGCO,AGCO Corporation,XNYS,CS,True
AGEN,Agenus Inc.,XNAS,CS,True
AGH,Aureus Greenway Holdings Inc. Common Stock,XNAS,CS,True
