test_id,strategy_name,total_return,weekly_return,win_rate,num_trades,winners,losers,avg_winner,avg_loser,winner_loser_ratio,max_drawdown,sharpe_ratio,profit_factor,param_strategy_type,param_ma_type,param_fast_ma,param_slow_ma,param_volume_multiplier,param_rsi_threshold,param_entry_confirmation,param_trailing_activation_pct,param_trailing_distance_pct,param_adaptive_trailing,param_strong_momentum_trail,param_weak_momentum_trail,param_momentum_lookback,param_pattern_types,param_confirmation_volume,param_confirmation_ma,param_min_body_pct,param_bb_period,param_bb_std,param_entry_trigger,param_exit_trigger,param_rsi_filter,param_rsi_period,param_oversold_threshold,param_overbought_threshold,param_exit_strategy,param_rsi_neutral,param_profit_target_pct,param_entry_type,param_exit_type,param_streak_rsi_period,param_pct_rank_period,param_crsi_oversold,param_crsi_overbought,param_max_hold_days,param_min_gap_pct,param_max_gap_pct,param_gap_confirmation,param_min_volume_multiplier,param_entry_time_window
1,momentum_ma,-0.1166,-0.0091,0.3769,49,18,31,0.0048,0.0066,0.74,0.1722,-1.08,0.43,momentum,SMA,5,20,1.2,30,ma_cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,momentum_ma,0.2292,0.0178,0.3773,95,35,60,0.0309,0.0142,2.18,0.1551,1.63,1.27,momentum,SMA,5,20,1.2,30,ma_cross_volume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,momentum_ma,0.2961,0.023,0.4823,35,16,19,0.0343,0.0133,2.58,0.1234,3.56,2.17,momentum,SMA,5,20,1.2,30,ma_cross_rsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,momentum_ma,0.2824,0.022,0.55,56,30,26,0.0266,0.0198,1.34,0.2023,3.06,1.55,momentum,SMA,5,20,1.2,40,ma_cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,momentum_ma,0.3408,0.0265,0.5304,20,10,10,0.0349,0.0009,40.91,0.2102,1.73,40.91,momentum,SMA,5,20,1.2,40,ma_cross_volume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,momentum_ma,-0.2719,-0.0211,0.4041,44,17,27,0.0224,0.0242,0.93,0.2154,-0.34,0.58,momentum,SMA,5,20,1.2,40,ma_cross_rsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,momentum_ma,-0.0733,-0.0057,0.3913,21,8,13,0.0367,0.0282,1.3,0.0939,0.39,0.8,momentum,SMA,5,20,1.2,50,ma_cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,momentum_ma,0.7693,0.0598,0.5483,90,49,41,0.0211,0.0064,3.28,0.087,2.18,3.92,momentum,SMA,5,20,1.2,50,ma_cross_volume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,momentum_ma,0.4505,0.035,0.5346,73,39,34,0.0304,0.0216,1.41,0.2225,1.14,1.61,momentum,SMA,5,20,1.2,50,ma_cross_rsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,momentum_ma,0.9573,0.0745,0.4721,86,40,46,0.029,0.0044,6.62,0.0655,1.24,5.75,momentum,SMA,5,20,1.5,30,ma_cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,momentum_ma,0.4761,0.037,0.3791,83,31,52,0.0433,0.0167,2.6,0.2011,0.74,1.55,momentum,SMA,5,20,1.5,30,ma_cross_volume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,momentum_ma,-0.3557,-0.0277,0.3518,68,23,45,0.0301,0.0233,1.29,0.154,-0.36,0.66,momentum,SMA,5,20,1.5,30,ma_cross_rsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,momentum_ma,0.4988,0.0388,0.5152,82,42,40,0.0249,0.0137,1.82,0.2339,1.86,1.91,momentum,SMA,5,20,1.5,40,ma_cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,momentum_ma,-0.5324,-0.0414,0.4866,97,47,50,0.0114,0.0213,0.53,0.1453,-0.97,0.5,momentum,SMA,5,20,1.5,40,ma_cross_volume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,momentum_ma,0.3287,0.0256,0.5079,53,26,27,0.0244,0.0113,2.15,0.2178,1.55,2.07,momentum,SMA,5,20,1.5,40,ma_cross_rsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,momentum_ma,0.6049,0.047,0.3915,63,24,39,0.0417,0.0101,4.11,0.2043,0.6,2.53,momentum,SMA,5,20,1.5,50,ma_cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,momentum_ma,0.6005,0.0467,0.4618,79,36,43,0.03,0.0112,2.69,0.1129,1.01,2.25,momentum,SMA,5,20,1.5,50,ma_cross_volume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,momentum_ma,-0.0552,-0.0043,0.4026,21,8,13,0.0207,0.017,1.22,0.1109,-0.75,0.75,momentum,SMA,5,20,1.5,50,ma_cross_rsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,momentum_ma,0.0356,0.0028,0.3542,32,11,21,0.0214,0.0095,2.25,0.1751,1.66,1.18,momentum,SMA,5,20,2.0,30,ma_cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,momentum_ma,-0.3383,-0.0263,0.4561,58,26,32,0.0098,0.0185,0.53,0.178,-0.65,0.43,momentum,SMA,5,20,2.0,30,ma_cross_volume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,momentum_ma,0.5422,0.0422,0.4314,97,41,56,0.0305,0.0126,2.41,0.0632,3.07,1.77,momentum,SMA,5,20,2.0,30,ma_cross_rsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,momentum_ma,1.5606,0.1214,0.4997,65,32,33,0.0603,0.0111,5.41,0.0687,0.24,5.24,momentum,SMA,5,20,2.0,40,ma_cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,momentum_ma,0.1854,0.0144,0.3594,34,12,22,0.0368,0.0117,3.16,0.1707,1.23,1.72,momentum,SMA,5,20,2.0,40,ma_cross_volume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,momentum_ma,-0.1025,-0.008,0.5004,24,12,12,0.0187,0.0273,0.69,0.213,-1.12,0.69,momentum,SMA,5,20,2.0,40,ma_cross_rsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,momentum_ma,0.5216,0.0406,0.4782,85,40,45,0.026,0.0116,2.25,0.2221,1.88,2.0,momentum,SMA,5,20,2.0,50,ma_cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,momentum_ma,-0.1452,-0.0113,0.4143,35,14,21,0.0128,0.0154,0.83,0.114,-0.18,0.55,momentum,SMA,5,20,2.0,50,ma_cross_volume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,momentum_ma,0.0132,0.001,0.4065,33,13,20,0.0295,0.0185,1.59,0.1064,2.16,1.04,momentum,SMA,5,20,2.0,50,ma_cross_rsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,momentum_ma,-0.2726,-0.0212,0.3907,93,36,57,0.0235,0.0196,1.2,0.2194,0.32,0.76,momentum,SMA,5,30,1.2,30,ma_cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,momentum_ma,-0.7853,-0.0611,0.4481,66,29,37,0.0019,0.0227,0.08,0.0995,-0.95,0.07,momentum,SMA,5,30,1.2,30,ma_cross_volume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
