test_id,strategy_name,total_return,weekly_return,win_rate,num_trades,winners,losers,avg_winner,avg_loser,winner_loser_ratio,max_drawdown,sharpe_ratio,profit_factor,param_strategy_type,param_ma_type,param_fast_ma,param_slow_ma,param_volume_multiplier,param_rsi_threshold,param_entry_confirmation,param_trailing_activation_pct,param_trailing_distance_pct,param_adaptive_trailing,param_strong_momentum_trail,param_weak_momentum_trail,param_momentum_lookback,param_pattern_types,param_confirmation_volume,param_confirmation_ma,param_min_body_pct,param_bb_period,param_bb_std,param_entry_trigger,param_exit_trigger,param_rsi_filter,param_rsi_period,param_oversold_threshold,param_overbought_threshold,param_exit_strategy,param_rsi_neutral,param_profit_target_pct,param_entry_type,param_exit_type,param_streak_rsi_period,param_pct_rank_period,param_crsi_oversold,param_crsi_overbought,param_max_hold_days,param_min_gap_pct,param_max_gap_pct,param_gap_confirmation,param_min_volume_multiplier,param_entry_time_window
13359,connors_rsi,0.2072,0.0161,0.3241,25,8,17,0.0259,0.0,18501.25,0.1974,3.32,8706.47,connors_rsi,,,,,,,,,,,,,,,,,,,,,,7,,,crsi_neutral,,0.015,,,3,200,5,95,3,,,,,
3687,mean_reversion_rsi,0.8268,0.0643,0.5191,65,33,32,0.0251,0.0,6749.28,0.2166,1.34,6960.2,mean_reversion_rsi,,,,,,,,,,,,,,,,,,,,,,21,20,75,rsi_neutral,45,0.03,,,,,,,,,,,,
4652,hybrid,1.5315,0.1191,0.5845,61,35,26,0.0438,0.0,4961.46,0.1196,3.36,6678.89,hybrid,,10,30,,,,,,,,,,,,,,20,2.0,,,,,,,,,0.03,ma_cross,rsi_overbought,,,,,,,,,,
17249,gap_down_reversal,0.5839,0.0454,0.4246,31,13,18,0.0449,0.0,4598.7,0.1981,1.37,3321.28,gap_reversal,,,,,30,,,,,,,,,,,,,,,,,,,,profit_target,,0.02,,,,,,,,0.02,0.2,volume,3.0,9:45-10:30
13791,connors_rsi,0.762,0.0593,0.4681,86,40,46,0.0191,0.0,2134.95,0.1155,2.45,1856.48,connors_rsi,,,,,,,,,,,,,,,,,,,,,,7,,,crsi_neutral,,0.015,,,3,200,20,95,3,,,,,
8113,connors_rsi,0.4083,0.0318,0.4888,36,17,19,0.024,0.0,902.37,0.1624,1.57,807.38,connors_rsi,,,,,,,,,,,,,,,,,,,,,,5,,,profit_target,,0.015,,,3,200,5,85,1,,,,,
15693,gap_down_reversal,1.3399,0.1042,0.4977,97,48,49,0.028,0.0,756.83,0.127,2.56,741.38,gap_reversal,,,,,30,,,,,,,,,,,,,,,,,,,,profit_target,,0.03,,,,,,,,0.02,0.1,volume,2.0,9:30-10:00
3273,mean_reversion_rsi,1.3694,0.1065,0.5903,64,37,27,0.0371,0.0001,401.26,0.1411,1.68,549.87,mean_reversion_rsi,,,,,,,,,,,,,,,,,,,,,,14,20,75,profit_target,45,0.03,,,,,,,,,,,,
16681,gap_down_reversal,0.3646,0.0284,0.4268,32,13,19,0.0281,0.0,800.54,0.1048,0.78,547.74,gap_reversal,,,,,30,,,,,,,,,,,,,,,,,,,,profit_target,,0.015,,,,,,,,0.02,0.15,rsi,2.0,9:45-10:30
904,momentum_ma,0.3109,0.0242,0.4834,35,16,19,0.0195,0.0,592.58,0.0964,1.92,499.02,momentum,EMA,8,100,1.5,40,ma_cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
