test_id,strategy_name,total_return,weekly_return,win_rate,num_trades,winners,losers,avg_winner,avg_loser,winner_loser_ratio,max_drawdown,sharpe_ratio,profit_factor,param_strategy_type,param_ma_type,param_fast_ma,param_slow_ma,param_volume_multiplier,param_rsi_threshold,param_entry_confirmation,param_trailing_activation_pct,param_trailing_distance_pct,param_adaptive_trailing,param_strong_momentum_trail,param_weak_momentum_trail,param_momentum_lookback,param_pattern_types,param_confirmation_volume,param_confirmation_ma,param_min_body_pct,param_bb_period,param_bb_std,param_entry_trigger,param_exit_trigger,param_rsi_filter,param_rsi_period,param_oversold_threshold,param_overbought_threshold,param_exit_strategy,param_rsi_neutral,param_profit_target_pct,param_entry_type,param_exit_type,param_streak_rsi_period,param_pct_rank_period,param_crsi_oversold,param_crsi_overbought,param_max_hold_days,param_min_gap_pct,param_max_gap_pct,param_gap_confirmation,param_min_volume_multiplier,param_entry_time_window
13708,connors_rsi,0.0987,0.0077,0.305,42,12,30,0.0392,0.0124,3.16,0.2325,4.43,1.27,connors_rsi,,,,,,,,,,,,,,,,,,,,,,7,,,time_based,,0.02,,,3,200,20,80,1,,,,,
2227,momentum_trailing,0.4439,0.0345,0.4677,49,22,27,0.0358,0.0127,2.82,0.1433,4.34,2.29,momentum,,,,,,,0.03,0.015,True,0.02,0.012,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
3685,mean_reversion_rsi,0.2628,0.0204,0.6129,45,27,18,0.0198,0.015,1.31,0.2166,4.33,1.97,mean_reversion_rsi,,,,,,,,,,,,,,,,,,,,,,21,20,75,rsi_neutral,45,0.01,,,,,,,,,,,,
9780,connors_rsi,0.2103,0.0164,0.4612,35,16,19,0.0338,0.0174,1.95,0.1268,4.33,1.64,connors_rsi,,,,,,,,,,,,,,,,,,,,,,5,,,profit_target,,0.03,,,5,100,20,95,3,,,,,
5133,hybrid,0.9726,0.0756,0.561,92,51,41,0.0264,0.0091,2.9,0.1269,4.32,3.6,hybrid,,13,50,,,,,,,,,,,,,,20,2.0,,,,,,,,,0.05,breakout,profit_target,,,,,,,,,,
6973,connors_rsi,0.4608,0.0358,0.4159,36,14,22,0.0365,0.0023,16.05,0.182,4.17,10.21,connors_rsi,,,,,,,,,,,,,,,,,,,,,,5,,,time_based,,0.015,,,3,50,5,85,1,,,,,
601,momentum_ma,0.5554,0.0432,0.5046,68,34,34,0.0354,0.0191,1.86,0.1223,4.03,1.86,momentum,SMA,20,50,1.2,50,ma_cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14845,connors_rsi,0.1684,0.0131,0.4464,41,18,23,0.0234,0.011,2.13,0.1257,4.03,1.67,connors_rsi,,,,,,,,,,,,,,,,,,,,,,7,,,profit_target,,0.015,,,5,100,20,80,1,,,,,
7389,connors_rsi,0.1017,0.0079,0.3295,28,9,19,0.0204,0.0043,4.74,0.2491,4.02,2.25,connors_rsi,,,,,,,,,,,,,,,,,,,,,,5,,,crsi_neutral,,0.025,,,3,50,20,85,3,,,,,
1710,momentum_trailing,0.564,0.0439,0.365,75,27,48,0.0293,0.0047,6.19,0.0597,4.01,3.48,momentum,,,,,,,0.01,0.015,False,0.018,0.015,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
