test_id,strategy_name,total_return,weekly_return,win_rate,num_trades,winners,losers,avg_winner,avg_loser,winner_loser_ratio,max_drawdown,sharpe_ratio,profit_factor,param_strategy_type,param_ma_type,param_fast_ma,param_slow_ma,param_volume_multiplier,param_rsi_threshold,param_entry_confirmation,param_trailing_activation_pct,param_trailing_distance_pct,param_adaptive_trailing,param_strong_momentum_trail,param_weak_momentum_trail,param_momentum_lookback,param_pattern_types,param_confirmation_volume,param_confirmation_ma,param_min_body_pct,param_bb_period,param_bb_std,param_entry_trigger,param_exit_trigger,param_rsi_filter,param_rsi_period,param_oversold_threshold,param_overbought_threshold,param_exit_strategy,param_rsi_neutral,param_profit_target_pct,param_entry_type,param_exit_type,param_streak_rsi_period,param_pct_rank_period,param_crsi_oversold,param_crsi_overbought,param_max_hold_days,param_min_gap_pct,param_max_gap_pct,param_gap_confirmation,param_min_volume_multiplier,param_entry_time_window
2852,mean_reversion_rsi,2.4643,0.1917,0.6272,87,54,33,0.0483,0.0043,11.21,0.224,3.52,18.34,mean_reversion_rsi,,,,,,,,,,,,,,,,,,,,,,7,20,80,rsi_neutral,50,0.02,,,,,,,,,,,,
3831,mean_reversion_rsi,2.434,0.1893,0.6117,97,59,38,0.0436,0.0036,11.96,0.2419,-0.04,18.57,mean_reversion_rsi,,,,,,,,,,,,,,,,,,,,,,21,25,80,rsi_opposite,45,0.03,,,,,,,,,,,,
4872,hybrid,2.3106,0.1797,0.5999,99,59,40,0.0448,0.0083,5.37,0.1585,1.52,7.92,hybrid,,10,30,,,,,,,,,,,,,,20,2.5,,,,,,,,,0.05,breakout,bb_upper,,,,,,,,,,
8675,connors_rsi,2.2808,0.1774,0.4889,96,46,50,0.0541,0.0042,12.96,0.0578,1.01,11.93,connors_rsi,,,,,,,,,,,,,,,,,,,,,,5,,,time_based,,0.03,,,5,50,5,80,2,,,,,
3353,mean_reversion_rsi,2.2714,0.1767,0.6173,86,53,33,0.045,0.0034,13.32,0.0842,2.08,21.4,mean_reversion_rsi,,,,,,,,,,,,,,,,,,,,,,14,25,70,profit_target,45,0.02,,,,,,,,,,,,
3539,mean_reversion_rsi,2.1447,0.1668,0.6235,89,55,34,0.0423,0.0053,8.01,0.0524,1.86,12.96,mean_reversion_rsi,,,,,,,,,,,,,,,,,,,,,,14,35,65,rsi_opposite,55,0.02,,,,,,,,,,,,
2395,momentum_trailing,2.126,0.1654,0.5498,96,52,44,0.0465,0.0067,6.97,0.2289,1.04,8.24,momentum,,,,,,,0.03,0.03,True,0.025,0.01,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
1897,momentum_trailing,2.0965,0.1631,0.5362,75,40,35,0.0528,0.0004,120.36,0.2019,1.01,137.55,momentum,,,,,,,0.02,0.01,True,0.018,0.015,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
12264,connors_rsi,2.0911,0.1626,0.5088,96,48,48,0.0467,0.0032,14.68,0.2378,1.0,14.68,connors_rsi,,,,,,,,,,,,,,,,,,,,,,7,,,profit_target,,0.03,,,3,50,10,80,3,,,,,
4479,mean_reversion_rsi,2.0887,0.1625,0.5964,93,55,38,0.0408,0.0041,9.91,0.0743,0.49,14.34,mean_reversion_rsi,,,,,,,,,,,,,,,,,,,,,,28,35,80,rsi_opposite,45,0.03,,,,,,,,,,,,
