test_id,strategy_name,total_return,weekly_return,win_rate,num_trades,winners,losers,avg_winner,avg_loser,winner_loser_ratio,max_drawdown,sharpe_ratio,profit_factor,param_strategy_type,param_ma_type,param_fast_ma,param_slow_ma,param_volume_multiplier,param_rsi_threshold,param_entry_confirmation,param_trailing_activation_pct,param_trailing_distance_pct,param_adaptive_trailing,param_strong_momentum_trail,param_weak_momentum_trail,param_momentum_lookback,param_pattern_types,param_confirmation_volume,param_confirmation_ma,param_min_body_pct,param_bb_period,param_bb_std,param_entry_trigger,param_exit_trigger,param_rsi_filter,param_rsi_period,param_oversold_threshold,param_overbought_threshold,param_exit_strategy,param_rsi_neutral,param_profit_target_pct,param_entry_type,param_exit_type,param_streak_rsi_period,param_pct_rank_period,param_crsi_oversold,param_crsi_overbought,param_max_hold_days,param_min_gap_pct,param_max_gap_pct,param_gap_confirmation,param_min_volume_multiplier,param_entry_time_window
3379,mean_reversion_rsi,1.2208,0.0949,0.6498,93,60,33,0.0256,0.0096,2.67,0.1005,1.07,4.86,mean_reversion_rsi,,,,,,,,,,,,,,,,,,,,,,14,25,75,profit_target,45,0.01,,,,,,,,,,,,
4085,mean_reversion_rsi,1.4642,0.1139,0.6498,99,64,35,0.0334,0.0192,1.74,0.2289,1.48,3.17,mean_reversion_rsi,,,,,,,,,,,,,,,,,,,,,,28,20,65,profit_target,50,0.02,,,,,,,,,,,,
2755,mean_reversion_bb,-0.1664,-0.0129,0.6497,83,53,30,0.0139,0.0301,0.46,0.1299,-0.32,0.82,mean_reversion,,,,,,,,,,,,,,,,,30,3.0,below_lower,middle_band,True,7,,,,,,,,,,,,,,,,,
4361,mean_reversion_rsi,0.2669,0.0208,0.6495,33,21,12,0.0128,0.0002,53.54,0.1052,0.87,93.69,mean_reversion_rsi,,,,,,,,,,,,,,,,,,,,,,28,30,80,rsi_neutral,45,0.02,,,,,,,,,,,,
2623,mean_reversion_bb,0.9139,0.0711,0.6494,69,44,25,0.0297,0.0157,1.89,0.1666,1.48,3.33,mean_reversion,,,,,,,,,,,,,,,,,20,2.5,lower_band,middle_band,True,7,,,,,,,,,,,,,,,,,
2855,mean_reversion_rsi,0.3014,0.0234,0.6494,67,43,24,0.0204,0.0239,0.85,0.1604,2.66,1.52,mean_reversion_rsi,,,,,,,,,,,,,,,,,,,,,,7,20,80,rsi_neutral,55,0.02,,,,,,,,,,,,
3665,mean_reversion_rsi,-0.1558,-0.0121,0.6494,53,34,19,0.0049,0.0169,0.29,0.244,-0.96,0.51,mean_reversion_rsi,,,,,,,,,,,,,,,,,,,,,,21,20,70,rsi_neutral,55,0.02,,,,,,,,,,,,
2507,mean_reversion_bb,0.4591,0.0357,0.6493,65,42,23,0.0185,0.0139,1.34,0.2034,2.12,2.44,mean_reversion,,,,,,,,,,,,,,,,,10,2.0,lower_band,middle_band,False,14,,,,,,,,,,,,,,,,,
3084,mean_reversion_rsi,0.3753,0.0292,0.6493,44,28,16,0.0267,0.0233,1.15,0.0752,1.25,2.01,mean_reversion_rsi,,,,,,,,,,,,,,,,,,,,,,7,30,80,profit_target,45,0.03,,,,,,,,,,,,
3780,mean_reversion_rsi,0.3808,0.0296,0.6493,64,41,23,0.0154,0.0109,1.42,0.1902,1.27,2.53,mean_reversion_rsi,,,,,,,,,,,,,,,,,,,,,,21,25,70,rsi_opposite,50,0.03,,,,,,,,,,,,
